gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
9,12;15;40;49;50;63;79;96;112,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,44,True
9,1;2;4;18;53;65;72;92;121,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,45,True
8,4;13;17;21;48;64;102;110,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,46,True
9,38;46;54;58;65;72;79;108;110,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,47,True
8,17;29;54;62;79;86;105;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,0,True
8,6;8;28;68;90;101;104;105,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,1,True
8,44;46;56;71;72;76;94;115,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,2,True
8,29;37;56;71;95;114;117;118,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,3,True
8,6;12;14;43;82;107;108;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,4,True
8,4;6;46;53;63;65;73;85,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,5,True
8,22;32;33;39;49;74;82;101,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,6,True
9,15;19;24;29;44;56;63;114;115,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,7,True
9,22;23;45;54;68;78;85;97;117,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,8,True
8,0;2;23;26;39;63;82;95,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,9,True
8,1;6;19;36;43;48;84;92,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,10,True
