step,start_us,end_us,latency_us
0,0.0,16875.3696,16875.3696
1,16875.3696,33751.922304,16876.552704
2,33751.922304,50629.658112,16877.735808001
3,50629.658112,67509.745152001,16880.087040001
4,67509.745152001,84391.015296001,16881.270144
5,84391.015296001,101273.468544,16882.453248
6,101273.468544,118158.273024,16884.80448
7,118158.273024,135044.260608,16885.987583999
