gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,isolation_available,step,layer,selected
10,4;20;32;38;46;65;73;84;94;104,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,True,0,5,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,6,False
1,33,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,6,False
2,33;49,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,6,False
3,33;49;58,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,6,False
4,33;49;58;82,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,6,False
5,33;49;58;82;92,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,6,False
6,33;49;58;82;92;112,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,6,False
7,33;49;58;82;92;112;126,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,6,True
8,33;49;58;74;82;92;112;126,127,1,23.276448,3.532676608,26.809124608,1.591512,20.0,46.809124608,True,0,6,False
9,22;33;49;58;74;82;92;112;126,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,True,0,6,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,7,False
1,15,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,7,False
2,15;19,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,7,False
3,15;19;24,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,7,False
4,15;19;24;29,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,7,False
5,15;19;24;29;52,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,7,False
6,15;19;24;29;52;56,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,7,False
7,15;19;24;29;52;56;114,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,7,True
8,15;19;24;29;52;56;114;125,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,7,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,8,False
1,17,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,8,False
2,17;23,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,8,False
3,17;23;50,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,8,False
4,17;23;50;53,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,8,False
5,17;23;50;53;66,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,8,False
6,17;23;50;53;66;83,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,8,False
7,17;23;50;53;66;83;92,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,8,True
8,17;23;50;53;66;83;92;102,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,8,False
0,,0,128,0.0,0.0,0.0,197.072304,20.0,217.072304,True,0,9,False
1,2,16,112,2.461056,3.067108864,5.528164864,172.447704,20.0,192.447704,True,0,9,False
2,2;6,32,96,5.406336,3.134217728,8.540553728,147.822168,20.0,167.822168,True,0,9,False
3,2;6;11,48,80,8.421504,3.201326592,11.622830592,123.196632,20.0,143.196632,True,0,9,False
4,2;6;11;13,64,64,11.366784,3.268435456,14.635219456,98.535528,20.0,118.535528,True,0,9,False
5,2;6;11;13;23,80,48,14.381952,3.33554432,17.71749632,73.909992,20.0,93.909992,True,0,9,False
6,2;6;11;13;23;26,96,32,17.385888,3.402653184,20.788541184,49.285704,20.0,69.285704,True,0,9,False
7,2;6;11;13;23;26;63,112,16,20.327112,3.469762048,23.796874048,24.661104,20.0,44.661104,True,0,9,True
8,2;6;11;13;23;26;63;85,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,True,0,9,False
