step,start_us,end_us,latency_us
0,0.0,9639.392421888,9639.392421888
1,9639.392421888,19290.915403776,9651.522981888
2,19290.915403776,28895.658353665,9604.742949888
3,28895.658353665,38516.730135553,9621.071781888
4,38516.730135553,48683.287741441,10166.557605888
5,48683.287741441,58305.472739328,9622.184997888
6,58305.472739328,68000.700681216,9695.227941888
7,68000.700681216,77665.776943103,9665.076261887
