total_pseudo_channels,scalar_format,trials,max_abs_error,mean_abs_error,max_relative_l2_error,min_cosine_similarity,max_vs_fp32_partial_abs_error,max_vs_fp32_partial_relative_l2_error
4,fp32,48,3.7492536412997435e-07,3.338146106959864e-08,4.392688644863383e-06,0.9999999999926027,0.0,0.0
4,bf16,48,0.018011378392497668,0.0015857074076927758,0.26668409714928226,0.9753232437835427,0.01801127753414533,0.2666887840176122
4,fp16,48,0.0030183717737650717,0.00023011142622800297,0.02403782542888833,0.9997169796674845,0.0030182702517276283,0.02403883376069241
8,fp32,48,3.806476551737603e-07,3.058650637769029e-08,2.0191217593320184e-06,0.999999999998271,0.0,0.0
8,bf16,48,0.021180454768003565,0.0017584085317405437,0.1385093106995494,0.9913422676881478,0.02118046945677521,0.13851059069680136
8,fp16,48,0.002205545314108215,0.00021173251513235177,0.018249042919523704,0.9998573976479348,0.0022052408566909376,0.01824863684173018
16,fp32,48,4.102652404469609e-07,3.0286381494508326e-08,1.2873023377143938e-06,0.9999999999993261,0.0,0.0
16,bf16,48,0.021267829738105926,0.0017949714743852492,0.12612581362264583,0.9945323702171492,0.02126750494709806,0.1261264630460598
16,fp16,48,0.0031072896840180775,0.00020521790446067565,0.011002083102275682,0.9999404389068586,0.0031068794187776305,0.011001264607161878
