context_length,total_pseudo_channels,seed,head_dim,logit_std,scalar_format,max_abs_error,mean_abs_error,rmse,relative_l2_error,cosine_similarity,vs_fp32_partial_max_abs_error,vs_fp32_partial_mean_abs_error,vs_fp32_partial_rmse,vs_fp32_partial_relative_l2_error,vs_fp32_partial_cosine_similarity
4096,4,1,128,1.0,fp32,1.7670038116729403e-08,3.38040697959965e-09,4.909861447812393e-09,8.640050047918885e-08,0.9999999999999967,0.0,0.0,0.0,0.0,1.0
4096,4,1,128,1.0,bf16,0.0007927972913260167,0.00018797922045320613,0.000262828161888497,0.004625076485062375,0.9999898811322651,0.0007928055874539264,0.00018797920626481337,0.00026282796072193125,0.004625072759016614,0.9999898811062743
4096,4,1,128,1.0,fp16,0.00018958097921766698,4.5859666555561806e-05,6.139082618239979e-05,0.0010803152315741083,0.9999994463725861,0.00018958762062663836,4.5858117683808255e-05,6.138918009610404e-05,0.0010802862213782863,0.9999994463940801
4096,4,2,128,1.0,fp32,1.52904306307362e-08,2.9672448083286116e-09,4.136247265749541e-09,1.3716663585669188e-07,0.9999999999999901,0.0,0.0,0.0,0.0,1.0
4096,4,2,128,1.0,bf16,0.001775032834602024,0.0005939601757143133,0.000715132149406321,0.02371528219294081,0.9997258489672494,0.0017750199363852498,0.0005939589482702983,0.0007151307483753338,0.023715235599586326,0.9997258500473749
4096,4,2,128,1.0,fp16,0.00012744289442197937,3.648124879858422e-05,4.749684991043052e-05,0.0015750951762366105,0.9999988454979111,0.000127443552112496,3.6481814794552716e-05,4.749775478226491e-05,0.0015751251749024121,0.9999988454529525
4096,4,3,128,1.0,fp32,2.911033490302084e-08,1.0167052987874665e-08,1.219639639026682e-08,6.310762078180113e-07,0.9999999999998136,0.0,0.0,0.0,0.0,1.0
4096,4,3,128,1.0,bf16,0.0033878422331701102,0.0015594917093923837,0.0018098279643243272,0.09364564187502607,0.996089550152123,0.0033878713435050133,0.0015595018692304203,0.0018098395153972285,0.09364625483656072,0.9960894993318324
4096,4,3,128,1.0,fp16,0.00014926172810089677,3.7935117792594846e-05,4.9997748898544465e-05,0.0025870256069662166,0.9999967334130015,0.00014923562653086642,3.792708479411559e-05,4.998823283175172e-05,0.002586533640561002,0.9999967346209797
4096,4,4,128,1.0,fp32,5.2487774571119417e-08,2.1504645372036924e-08,2.5374482847426567e-08,2.3165747024143498e-06,0.9999999999981054,0.0,0.0,0.0,0.0,1.0
4096,4,4,128,1.0,bf16,0.0025434914052515512,0.0009977508478940908,0.0011914699243386903,0.1087757769096948,0.9952114335018358,0.002543442201252454,0.0009977293831970376,0.0011914452984532345,0.10877366524251576,0.9952116160077792
4096,4,4,128,1.0,fp16,0.00022525936196058152,7.039326924315121e-05,8.681732233122073e-05,0.007926026073246864,0.9999750469012216,0.00022522170494124714,7.037278891099614e-05,8.679481343227385e-05,0.007923981061761967,0.9999750586554416
4096,4,5,128,1.0,fp32,4.607114087624986e-08,1.973555018213418e-08,2.3098461590664004e-08,1.5287957887015644e-06,0.999999999999009,0.0,0.0,0.0,0.0,1.0
4096,4,5,128,1.0,bf16,0.0010174558653328857,0.00021882394631618027,0.0003057996782081041,0.020239670871405588,0.999806464895676,0.0010174331302184939,0.00021881277895557873,0.00030578567322538813,0.020238731889197052,0.999806480983146
4096,4,5,128,1.0,fp16,0.00014098240619661584,3.360823502770024e-05,4.5267931299072486e-05,0.002996105280068755,0.9999961291813989,0.00014095159099821244,3.3595544371844165e-05,4.525090969449799e-05,0.002994976904539868,0.9999961318963843
4096,4,6,128,1.0,fp32,1.241412384000995e-08,3.429537972967304e-09,4.550404292073623e-09,1.7270602729805539e-07,0.9999999999999861,0.0,0.0,0.0,0.0,1.0
4096,4,6,128,1.0,bf16,0.0016065260318459784,0.00043412948382477105,0.0005634258915693421,0.021384264158528888,0.9997780595246244,0.0016065152461014864,0.0004341283121598797,0.0005634244099015965,0.021384208730267806,0.9997780608442651
4096,4,6,128,1.0,fp16,0.0003531490289119532,0.00013478913897547274,0.0001576943105395064,0.005985129266035637,0.9999825903613165,0.0003531494033422733,0.00013478793550974702,0.00015769290776937518,0.00598507625115522,0.9999825907160937
4096,4,7,128,1.0,fp32,2.0812888162913268e-08,5.310684883774251e-09,7.078919348494772e-09,5.073036271041721e-07,0.9999999999998853,0.0,0.0,0.0,0.0,1.0
4096,4,7,128,1.0,bf16,0.0014772081959034235,0.0003957299099728758,0.0005165168652436481,0.03701566104921036,0.9994319509244994,0.0014771908117879257,0.0003957251556014927,0.0005165115428971303,0.03701527354902516,0.9994319625451151
4096,4,7,128,1.0,fp16,0.0003170392059896488,0.00010906489576911855,0.0001294025827125506,0.009273505790214052,0.9999637334465891,0.00031704717189624115,0.00010906999615336009,0.0001294084766696287,0.009273926651515224,0.9999637301318532
4096,4,8,128,1.0,fp32,3.5110359314360906e-08,1.3646120594327206e-08,1.608684956174927e-08,6.42323881669674e-07,0.9999999999998653,0.0,0.0,0.0,0.0,1.0
4096,4,8,128,1.0,bf16,0.0023899088865013927,0.0006210163853976563,0.0007616536035811554,0.030411691068660963,0.999655040403132,0.002389937099536426,0.0006210299828782447,0.0007616684644458405,0.030412272904050797,0.9996550282427352
4096,4,8,128,1.0,fp16,0.00020802625956874501,6.14573633278502e-05,7.805938356115633e-05,0.0031167946251554144,0.9999968481472913,0.0002080544726037782,6.147088366291104e-05,7.807371269784147e-05,0.0031173655836292612,0.9999968470649209
4096,4,1,128,4.0,fp32,2.4816112920156286e-07,8.728192214973622e-08,1.0723780530576046e-07,3.2025952072780643e-07,0.9999999999999875,0.0,0.0,0.0,0.0,1.0
4096,4,1,128,4.0,bf16,0.009706359646208695,0.0026481706263713437,0.0033264556392550325,0.00993426791710833,0.999979432340875,0.009706117492177424,0.0026480889777730624,0.003326355935677231,0.009933967373755525,0.9999794331777313
4096,4,1,128,4.0,fp16,0.0015636239135717878,0.00039450022305579085,0.000497076396004029,0.001484489988353056,0.9999997289560557,0.0015633757524425862,0.00039441420249525764,0.0004969725759900513,0.001484179519871879,0.9999997290550399
4096,4,2,128,4.0,fp32,2.4626202255184637e-07,6.68638519443727e-08,8.361651990268904e-08,1.5807053839654126e-07,0.9999999999999977,0.0,0.0,0.0,0.0,1.0
4096,4,2,128,4.0,bf16,0.0058457999881988965,0.0012112807412336386,0.001536472160072378,0.002904581317861412,0.9999966741335964,0.005845602580125453,0.001211240058732659,0.001536413469353089,0.0029044707879935937,0.9999966742617094
4096,4,2,128,4.0,fp16,0.0016560192650284522,0.0004889133980732164,0.0006133943302286169,0.0011595743537456782,0.9999996584954798,0.0016558903457163376,0.0004888720482197392,0.0006133368431655152,0.0011594658467323372,0.9999996585036826
4096,4,3,128,4.0,fp32,5.7460142394161196e-08,1.9335619955779804e-08,2.3484811913575754e-08,9.803616208758287e-08,0.9999999999999951,0.0,0.0,0.0,0.0,1.0
4096,4,3,128,4.0,bf16,0.007351357230217875,0.00243812167170515,0.00300120840615508,0.012528393024700074,0.9999423289002355,0.007351395049602222,0.002438137450126312,0.003001228265427038,0.012528475987460933,0.999942327898977
4096,4,3,128,4.0,fp16,0.001245992140887081,0.0004069001899149057,0.0004889710035879527,0.0020411847767946556,0.9999979752395078,0.001245934680744687,0.00040688171833901576,0.0004889494363496353,0.0020410947554225234,0.999997975424862
4096,4,4,128,4.0,fp32,9.029527903159362e-08,2.1467981427554625e-08,3.001091544510154e-08,3.6168139773006593e-08,0.999999999999999,0.0,0.0,0.0,0.0,1.0
4096,4,4,128,4.0,bf16,0.008060745580895201,0.0011521128372227317,0.0017127460294564768,0.0020641435581117886,0.9999984719598384,0.008060771218010077,0.0011521101686626405,0.001712738432341026,0.002064134448216389,0.9999984719542622
4096,4,4,128,4.0,fp16,0.0005761142661611096,0.00013282695401279322,0.00018390500417214459,0.0002216360879767552,0.9999999808109478,0.0005761478221704142,0.00013283162065210656,0.00018391162776884738,0.0002216440754390927,0.9999999808114812
4096,4,5,128,4.0,fp32,7.40263642988459e-08,2.4288675642362284e-08,3.0090475576746483e-08,1.1860335501066083e-07,0.9999999999999931,0.0,0.0,0.0,0.0,1.0
4096,4,5,128,4.0,bf16,0.008425351546981801,0.0032144419209228624,0.003909482798344276,0.015409453235708309,0.9998813276090738,0.0084254255733461,0.0032144609513432686,0.003909505909028955,0.015409544607882016,0.9998813262077073
4096,4,5,128,4.0,fp16,0.0019914431557649243,0.0006974752169094597,0.000852289927973499,0.003359350191778563,0.9999944513200462,0.0019913759743893505,0.0006974519895373292,0.0008522620100911046,0.0033592402128800065,0.9999944516817814
4096,4,6,128,4.0,fp32,4.764971267556817e-08,1.58475118255596e-08,1.9094497698739258e-08,8.287150227589704e-08,0.9999999999999978,0.0,0.0,0.0,0.0,1.0
4096,4,6,128,4.0,bf16,0.00665905201951833,0.001969805666977392,0.002396062759302392,0.010399085827946701,0.9999561716676088,0.006659035858195661,0.0019697993850389464,0.0023960565424634276,0.010399058356112214,0.9999561717386134
4096,4,6,128,4.0,fp16,0.0008705228494044481,0.0003459700922319091,0.0004115732502762548,0.0017862577002598504,0.999998632218769,0.0008704820743985209,0.0003459586738065311,0.00041155968677783803,0.0017861987494776858,0.9999986322921908
4096,4,7,128,4.0,fp32,1.0152203744340227e-07,1.7883700753174947e-08,2.5302333524465136e-08,5.3653131549510516e-08,0.9999999999999993,0.0,0.0,0.0,0.0,1.0
4096,4,7,128,4.0,bf16,0.011643511678558482,0.0032637723203619872,0.004094396411007282,0.008682092070409589,0.9999924434131975,0.011643524370438252,0.0032637876630838745,0.004094416031162971,0.008682134077826703,0.9999924434118468
4096,4,7,128,4.0,fp16,0.0030183717737650717,0.0007999921279106064,0.0009974836792861403,0.0021151457438295844,0.9999997844895445,0.0030182702517276283,0.000799975695375251,0.0009974621755204675,0.0021151002437262366,0.9999997844925922
4096,4,8,128,4.0,fp32,2.1416673412488763e-07,8.019169717428925e-08,9.429819485771295e-08,4.0680551783186763e-07,0.999999999999968,0.0,0.0,0.0,0.0,1.0
4096,4,8,128,4.0,bf16,0.007147040584707998,0.0031105312293342,0.003625011853148337,0.015638420505204923,0.9999371724781875,0.007146895796568686,0.003110512872916469,0.003624989663148473,0.015638329775241103,0.9999371704274577
4096,4,8,128,4.0,fp16,0.0005079448831257771,0.0001343706167446946,0.00016704648779088956,0.0007206440491284684,0.9999999007644186,0.0005080581694436592,0.00013440389263609466,0.00016708837458936552,0.0007208249805512591,0.9999999008151893
4096,8,1,128,1.0,fp32,1.626637347040827e-08,4.1207011635581594e-09,5.530169118809862e-09,9.731626537294991e-08,0.999999999999995,0.0,0.0,0.0,0.0,1.0
4096,8,1,128,1.0,bf16,0.000838424966486867,0.00018362697346312588,0.00026243751033149676,0.004618202056853645,0.999989461195687,0.0008384087001133966,0.00018362466039077377,0.0002624344592238389,0.00461814837020637,0.9999894614440118
4096,8,1,128,1.0,fp16,0.00014840791726181135,4.079862589594438e-05,5.1656625154702366e-05,0.0009090191879896563,0.9999995939023746,0.00014840155260394117,4.079506369015363e-05,5.165273714139516e-05,0.0009089507702293528,0.9999995939646796
4096,8,2,128,1.0,fp32,1.1938828578528238e-08,2.8455343812474135e-09,3.842521473976753e-09,1.2742607245869694e-07,0.9999999999999918,0.0,0.0,0.0,0.0,1.0
4096,8,2,128,1.0,bf16,0.0017670657056238215,0.0007326127890835989,0.0008614278134202832,0.0285667532931773,0.999605874443991,0.0017670737002197442,0.0007326154124104411,0.0008614308153632868,0.0285668534595367,0.9996058717104546
4096,8,2,128,1.0,fp16,0.00012783715699295553,3.086124191164402e-05,4.0624190146858826e-05,0.0013471833618335257,0.9999991553816784,0.00012783386508553526,3.085918295289086e-05,4.062177417670991e-05,0.0013471032722263126,0.9999991554819694
4096,8,3,128,1.0,fp32,2.3012015997608826e-08,7.557865850810854e-09,9.13439764166329e-09,4.7263969126183373e-07,0.9999999999998924,0.0,0.0,0.0,0.0,1.0
4096,8,3,128,1.0,bf16,0.0018695553033769036,0.0007253897036069,0.0008551809963093775,0.04424949492291338,0.9990656450454294,0.0018695641948778055,0.0007253972399932346,0.0008551893377034646,0.044249930567690866,0.9990656267983722
4096,8,3,128,1.0,fp16,0.0001158488160516967,3.414732884764399e-05,4.475837566409325e-05,0.0023159255470518534,0.9999974608883422,0.0001158364061628718,3.414032054040465e-05,4.475112846240253e-05,0.0023155507675117547,0.9999974617079692
4096,8,4,128,1.0,fp32,3.476712243447033e-08,1.4804628926444304e-08,1.7185825692345474e-08,1.5689876037425442e-06,0.9999999999991004,0.0,0.0,0.0,0.0,1.0
4096,8,4,128,1.0,bf16,0.0026123862350014362,0.0010222135956392529,0.0011868420390042309,0.10835327205881976,0.9952288397769973,0.002612364789736767,0.0010221988387100179,0.0011868252821178764,0.10835183044187167,0.9952289661643574
4096,8,4,128,1.0,fp16,0.0001482026931185869,3.449412844522508e-05,4.5585179210953475e-05,0.0041617192200561134,0.9999942616453655,0.00014823435709569732,3.4507082610034854e-05,4.559951055333614e-05,0.0041630309955064575,0.9999942581666703
4096,8,5,128,1.0,fp32,3.6006909913746665e-08,1.4531850893680904e-08,1.6967567073794163e-08,1.1230161361660688e-06,0.999999999999496,0.0,0.0,0.0,0.0,1.0
4096,8,5,128,1.0,bf16,0.0013396925363581445,0.0004944994081833382,0.0005888765523624262,0.03897540924026939,0.9993274182217771,0.0013396680597595112,0.0004944849632594467,0.0005888605456456856,0.03897433021056651,0.9993274531128624
4096,8,5,128,1.0,fp16,0.00010744272040506819,2.9908114831480495e-05,3.9222744621787134e-05,0.0025959982903511346,0.9999968383523912,0.00010747141510901274,2.9920761429303687e-05,3.923656819426885e-05,0.0025969119113865183,0.9999968363032683
4096,8,6,128,1.0,fp32,8.073123544671823e-09,2.147903220439232e-09,2.7125361386998354e-09,1.0295158635317053e-07,0.9999999999999943,0.0,0.0,0.0,0.0,1.0
4096,8,6,128,1.0,bf16,0.0014787917726276844,0.0005453026673199781,0.0006572977432773402,0.02494707606336132,0.9997070255100278,0.0014787868339444506,0.0005453020692233156,0.0006572971851963632,0.024947054983218097,0.99970702605743
4096,8,6,128,1.0,fp16,0.0002354457438822771,8.51923823008094e-05,0.00010142342652610917,0.003849424346929461,0.9999926547045332,0.00023544080519904325,8.519175684460446e-05,0.00010142269653404949,0.0038493966564382837,0.9999926548125372
4096,8,7,128,1.0,fp32,1.3174081827174722e-08,2.036329276111679e-09,3.124791203998272e-09,2.239350151755309e-07,0.9999999999999751,0.0,0.0,0.0,0.0,1.0
4096,8,7,128,1.0,bf16,0.0014954124928228496,0.0004742967517409121,0.0005727304614588726,0.04104415181858416,0.999268147780726,0.0014954000459310368,0.0004742958058116627,0.0005727294674352651,0.041044081702787866,0.9992681502981695
4096,8,7,128,1.0,fp16,0.0001796030205042298,7.502407737265985e-05,8.878385264512286e-05,0.006362605400318672,0.9999838981804149,0.0001796002230943271,7.502313372405871e-05,8.878286555179323e-05,0.006362534834873519,0.9999838985521851
4096,8,8,128,1.0,fp32,1.9798209471150185e-08,7.03402763904144e-09,8.540081219027632e-09,3.409926907890858e-07,0.99999999999996,0.0,0.0,0.0,0.0,1.0
4096,8,8,128,1.0,bf16,0.0008813457695434034,0.0001340645477530559,0.00019130139991129614,0.007638379241889595,0.9999716199677193,0.0008813362493549654,0.00013406428133113722,0.00019130053779781986,0.007638343381218243,0.9999716200042982
