policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,24531.856478207,3066.482059776,3094.010750976,5217.705399251,9.067708333,0.0,49152,0,True
noexp,70896.895838211,8862.111979776,8888.055154176,1805.438707671,9.067708333,0.0,49152,0,True
allexp,135044.260608,16880.532576,16885.573497599,947.837393635,0.0,9.067708333,0,49152,True
pimoe,70223.826979523,8777.97837244,8801.358774731,1822.743155786,8.486979167,0.580729167,48755,397,True
sieve,78576.895838211,9822.111979776,9848.055154176,1628.977559301,9.067708333,0.0,49152,0,True
sieve-cycle-v1,76697.747762179,9587.218470272,9595.333326618,1668.888640601,7.166666667,1.901041667,43400,5752,True
sieve-fixed-16-cycle-v1,78576.895838211,9822.111979776,9848.055154176,1628.977559301,9.067708333,0.0,49152,0,True
