step,start_us,end_us,latency_us
0,0.0,8083.618891776,8083.618891776
1,8083.618891776,16153.567767552,8069.948875776
2,16153.567767552,24167.494499328,8013.926731776
3,24167.494499328,32234.554159104,8067.059659776
4,32234.554159104,40305.47570688,8070.921547777
5,40305.47570688,48377.523526657,8072.047819777
6,48377.523526657,56457.476754434,8079.953227777
7,56457.476754434,64448.939870211,7991.463115777
