policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
sieve-fixed-16-cycle-v1,10144.665216,5072.332608,5072.8650048,1577.183638822,16.0,33.0,2976,3168,True
sieve-cycle-v1,10144.665216,5072.332608,5072.8650048,1577.183638822,16.0,33.0,2976,3168,True
