step,start_us,end_us,latency_us
0,0.0,6048.214053888,6048.214053888
1,6048.214053888,12040.434379776,5992.220325888
2,12040.434379776,18074.698865664,6034.264485888
3,18074.698865664,24118.744215553,6044.045349888
4,24118.744215553,30176.004925441,6057.260709889
5,30176.004925441,36259.814627329,6083.809701888
6,36259.814627329,42261.192969217,6001.378341888
7,42261.192969217,48293.722927105,6032.529957888
