layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
11,0,1,1,0.357142857,0.333333333,0.453125,0.381118881,1.0,False
11,1,2,1,0.285714286,0.230769231,0.625,0.230769231,1.0,False
11,2,3,1,0.583333333,0.333333333,0.484375,0.348484848,1.0,False
11,3,4,1,0.384615385,0.333333333,0.53125,0.307692308,1.0,False
11,4,5,1,0.285714286,0.230769231,0.59375,0.256410256,1.0,False
11,5,6,1,0.384615385,0.454545455,0.375,0.454545455,1.0,False
11,6,7,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
12,0,1,1,0.307692308,0.230769231,0.578125,0.269230769,1.0,False
12,1,2,1,0.416666667,0.333333333,0.46875,0.363636364,1.0,False
12,2,3,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
12,3,4,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
12,4,5,1,0.416666667,0.333333333,0.46875,0.363636364,1.0,False
12,5,6,1,0.285714286,0.230769231,0.59375,0.256410256,1.0,False
12,6,7,1,0.285714286,0.230769231,0.625,0.230769231,1.0,False
13,0,1,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
13,1,2,1,0.416666667,0.454545455,0.4375,0.393939394,1.0,False
13,2,3,1,0.384615385,0.454545455,0.4375,0.393939394,1.0,False
13,3,4,1,0.416666667,0.333333333,0.46875,0.363636364,1.0,False
13,4,5,1,0.461538462,0.454545455,0.40625,0.424242424,1.0,False
13,5,6,1,0.357142857,0.333333333,0.484375,0.348484848,1.0,False
13,6,7,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
14,0,1,1,0.307692308,0.333333333,0.515625,0.320512821,1.0,False
14,1,2,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
14,2,3,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
14,3,4,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
14,4,5,1,0.461538462,0.454545455,0.359375,0.472727273,1.0,False
14,5,6,1,0.384615385,0.454545455,0.375,0.454545455,1.0,False
14,6,7,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
15,0,1,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
15,1,2,1,0.6,0.6,0.25,0.6,1.0,True
15,2,3,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
15,3,4,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
15,4,5,1,0.545454545,0.6,0.28125,0.563636364,1.0,False
15,5,6,1,0.545454545,0.454545455,0.375,0.454545455,1.0,False
15,6,7,1,0.545454545,0.6,0.25,0.6,1.0,False
16,0,1,1,0.545454545,0.6,0.25,0.6,1.0,False
16,1,2,1,0.6,0.6,0.25,0.6,1.0,True
16,2,3,1,0.6,0.6,0.25,0.6,1.0,True
16,3,4,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
16,4,5,1,0.266666667,0.333333333,0.5,0.333333333,1.0,False
16,5,6,1,0.384615385,0.454545455,0.375,0.454545455,1.0,False
16,6,7,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
17,0,1,1,0.307692308,0.230769231,0.546875,0.294871795,1.0,False
17,1,2,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
17,2,3,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
17,3,4,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
17,4,5,1,0.8,1.0,0.09375,0.833333333,0.75,False
17,5,6,1,0.636363636,0.454545455,0.34375,0.490909091,1.0,False
17,6,7,1,0.545454545,0.6,0.25,0.6,1.0,False
18,0,1,1,0.416666667,0.333333333,0.5,0.333333333,1.0,False
18,1,2,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
18,2,3,1,0.357142857,0.333333333,0.546875,0.297202797,1.0,False
18,3,4,1,0.461538462,0.6,0.3125,0.527272727,1.0,False
18,4,5,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
18,5,6,1,0.6,0.6,0.25,0.6,1.0,True
