policy,layer_records,dual_row_buffer,total_gpu_blocked_by_pim_cycles,total_gpu_column_issues,total_gpu_contended_us,total_gpu_contention_delta_us,total_gpu_isolated_us,total_pim_blocked_by_gpu_cycles,total_pim_column_issues,total_pim_contended_us,total_pim_contention_delta_us,total_pim_isolated_us,total_pim_queue_wait_cycles,total_pim_row_activations,total_pim_row_conflicts,total_total_memory_phase_us,mean_gpu_blocked_by_pim_cycles,mean_gpu_column_issues,mean_gpu_contended_us,mean_gpu_contention_delta_us,mean_gpu_isolated_us,mean_pim_blocked_by_gpu_cycles,mean_pim_column_issues,mean_pim_contended_us,mean_pim_contention_delta_us,mean_pim_isolated_us,mean_pim_queue_wait_cycles,mean_pim_row_activations,mean_pim_row_conflicts,mean_total_memory_phase_us
gpu-only,384,True,0,995622912,9854.617344,0.0,9854.617344,0,0,0.0,0.0,0.0,0,0,0,9854.617344,0.0,2592768.0,25.663066,0.0,25.663066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.663066
noexp,384,True,0,995622912,9854.617344,0.0,9854.617344,0,0,0.0,0.0,0.0,0,0,0,9854.617344,0.0,2592768.0,25.663066,0.0,25.663066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.663066
allexp,384,True,0,0,0.0,0.0,0.0,0,1110441984,37837.283328,0.0,37837.283328,2700637569024,34701312,34603008,37837.283328,0.0,0.0,0.0,0.0,0.0,0.0,2891776.0,98.534592,0.0,98.534592,7032910336.0,90368.0,90112.0,98.534592
pimoe,384,True,23013120,913342464,9011.549664,-7.35696,9018.906624,166016,23013120,791.9496,0.33696,791.61264,18021381632,779520,731136,9011.549664,59930.0,2378496.0,23.46757725,-0.01915875,23.486736,432.333333333,59930.0,2.06236875,0.0008775,2.06149125,46930681.333333336,2030.0,1904.0,23.46757725
sieve,384,True,0,995622912,9854.617344,0.0,9854.617344,0,0,0.0,0.0,0.0,0,0,0,9854.617344,0.0,2592768.0,25.663066,0.0,25.663066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.663066
sieve-cycle-v1,384,True,143193088,792723456,7793.982456,-17.858568,7811.841024,442112,143193088,4891.524768,0.9516,4890.573168,151927425408,4565248,4466944,7793.982456,372898.666666667,2064384.0,20.296829312,-0.046506688,20.343336,1151.333333333,372898.666666667,12.73834575,0.002478125,12.735867625,395644337.0,11888.666666667,11632.666666667,20.296829312
sieve-fixed-16-cycle-v1,384,True,0,995622912,9854.617344,0.0,9854.617344,0,0,0.0,0.0,0.0,0,0,0,9854.617344,0.0,2592768.0,25.663066,0.0,25.663066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.663066
