step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,0,26,16,0.125,3.906254932,1
0,0,43,16,0.125,1.136784941,2
0,0,44,16,0.125,3.501544178,3
0,0,59,16,0.125,1.603123754,4
0,0,65,16,0.125,2.561784402,5
0,0,66,16,0.125,1.154686727,6
0,0,73,16,0.125,1.067910455,7
0,0,114,16,0.125,1.067910612,8
0,1,26,16,0.125,1.528507449,1
0,1,33,16,0.125,1.389015153,2
0,1,34,16,0.125,1.861857824,3
0,1,49,16,0.125,1.572428867,4
0,1,50,16,0.125,3.842667162,5
0,1,94,16,0.125,2.089221865,6
0,1,104,16,0.125,1.34890312,7
0,1,124,16,0.125,2.36739856,8
0,2,18,16,0.125,1.665856853,1
0,2,53,16,0.125,2.703952774,2
0,2,56,16,0.125,1.45443058,3
0,2,62,16,0.125,1.279765457,4
0,2,67,16,0.125,1.613037191,5
0,2,72,16,0.125,3.984523788,6
0,2,82,16,0.125,1.381043918,7
0,2,123,16,0.125,1.917389438,8
0,3,46,16,0.125,2.352700889,1
0,3,56,16,0.125,2.260367841,2
0,3,71,16,0.125,1.604402587,3
0,3,99,16,0.125,1.914607383,4
0,3,101,16,0.125,2.078279257,5
0,3,108,16,0.125,1.835868418,6
0,3,114,16,0.125,2.371153221,7
0,3,51,12,0.09375,1.184962086,8
0,3,67,3,0.0234375,0.297746263,0
0,3,80,1,0.0078125,0.099912055,0
0,4,12,16,0.125,2.782722518,1
0,4,43,16,0.125,2.074069619,2
0,4,65,16,0.125,2.000394598,3
0,4,100,16,0.125,1.714360282,4
0,4,108,16,0.125,2.098564759,5
0,4,121,16,0.125,1.920006923,6
0,4,127,16,0.125,1.748179309,7
0,4,107,9,0.0703125,0.928383611,8
0,4,114,7,0.0546875,0.733318381,0
0,5,20,16,0.125,2.024240702,1
0,5,32,16,0.125,1.733174659,2
0,5,46,16,0.125,2.058130011,3
0,5,65,16,0.125,2.280406862,4
0,5,73,16,0.125,1.998766504,5
0,5,104,16,0.125,2.534076765,6
0,5,38,11,0.0859375,1.150432482,7
0,5,94,11,0.0859375,1.165575296,8
0,5,84,7,0.0546875,0.742605291,0
0,5,4,3,0.0234375,0.312591426,0
0,6,33,16,0.125,1.658168085,1
0,6,49,16,0.125,1.657617651,2
0,6,58,16,0.125,2.345151335,3
0,6,82,16,0.125,1.570699364,4
0,6,92,16,0.125,1.484941512,5
0,6,112,16,0.125,1.966581218,6
0,6,126,16,0.125,3.851840407,7
0,6,74,15,0.1171875,1.378587209,8
0,6,22,1,0.0078125,0.08641322,0
0,7,15,16,0.125,2.078761101,1
0,7,19,16,0.125,1.854399525,2
0,7,24,16,0.125,2.519889444,3
0,7,29,16,0.125,1.750451811,4
0,7,52,16,0.125,2.082821488,5
0,7,56,16,0.125,1.858008951,6
0,7,114,16,0.125,2.003034376,7
0,7,125,16,0.125,1.852633305,8
0,8,17,16,0.125,2.020439245,1
0,8,23,16,0.125,1.790302455,2
0,8,50,16,0.125,2.016996354,3
0,8,53,16,0.125,2.044267878,4
0,8,66,16,0.125,1.757132635,5
0,8,83,16,0.125,1.977806143,6
0,8,92,16,0.125,2.316567495,7
0,8,102,16,0.125,2.076487795,8
0,9,2,16,0.125,1.93016769,1
0,9,6,16,0.125,1.764251456,2
0,9,11,16,0.125,1.594694868,3
0,9,13,16,0.125,1.906179078,4
0,9,23,16,0.125,1.718489662,5
0,9,26,16,0.125,3.824162096,6
0,9,63,16,0.125,1.682141051,7
0,9,85,16,0.125,1.5799141,8
0,10,1,16,0.125,2.065839067,1
0,10,5,16,0.125,2.000317484,2
0,10,12,16,0.125,1.672989622,3
0,10,28,16,0.125,2.697025627,4
0,10,31,16,0.125,1.753550753,5
0,10,90,16,0.125,1.686074592,6
0,10,92,16,0.125,2.129363194,7
0,10,98,16,0.125,1.994839661,8
0,11,17,16,0.125,2.145107031,1
0,11,54,16,0.125,2.433295712,2
0,11,62,16,0.125,2.071144611,3
0,11,108,16,0.125,1.856444284,4
0,11,120,16,0.125,1.978141472,5
0,11,121,16,0.125,1.939808898,6
0,11,15,15,0.1171875,1.682385072,7
0,11,81,13,0.1015625,1.4501964,8
0,11,104,4,0.03125,0.44347652,0
0,12,11,16,0.125,2.322120607,1
0,12,18,16,0.125,2.071421474,2
0,12,33,16,0.125,1.804897949,3
0,12,39,16,0.125,2.099888504,4
0,12,41,16,0.125,2.351788342,5
0,12,89,16,0.125,1.928971931,6
