step,start_us,end_us,latency_us
0,0.0,2581.874469888,2581.874469888
1,2581.874469888,5748.854347776,3166.979877888
2,5748.854347776,8855.675633664,3106.821285888
3,8855.675633664,11894.065815552,3038.390181888
4,11894.065815552,14953.68966144,3059.623845888
5,14953.68966144,18091.173731328,3137.484069888
6,18091.173731328,21613.226505216,3522.052773888
7,21613.226505216,24994.901167105,3381.674661888
