step,start_us,end_us,latency_us
0,0.0,16070.063232,16070.063232
1,16070.063232,32141.11296,16071.049728
2,32141.11296,48213.149184,16072.036224
3,48213.149184,64287.340032001,16074.190848001
4,64287.340032001,80362.517376001,16075.177344
5,80362.517376001,96438.681216,16076.16384
6,96438.681216,112516.999680001,16078.318464
7,112516.999680001,128596.304640001,16079.30496
