step,start_us,end_us,latency_us
0,0.0,8679.392421888,8679.392421888
1,8679.392421888,17370.915403776,8691.522981888
2,17370.915403776,26015.658353664,8644.742949888
3,26015.658353664,34676.730135553,8661.071781888
4,34676.730135553,43883.287741441,9206.557605888
5,43883.287741441,52545.472739328,8662.184997888
6,52545.472739328,61280.700681216,8735.227941888
7,61280.700681216,69985.776943104,8705.076261887
