step,start_us,end_us,latency_us
0,0.0,4028.291298112,4028.291298112
1,4028.291298112,8794.370013824,4766.078715712
2,8794.370013824,13490.874244352,4696.504230528
3,13490.874244352,18106.162472,4615.288227648
4,18106.162472,22721.937770304,4615.775298304
5,22721.937770304,27444.880745793,4722.942975488
6,27444.880745793,32650.802588033,5205.92184224
7,32650.802588033,37673.216097601,5022.413509568
