batch_size,context_length,kv_cache_bytes,model_weights_bytes,activation_bytes,peak_memory_bytes,a800_state,a800_feasible,a800_admission_status,a800_resident_capacity_bytes,a800_spill_capacity_bytes,a800_resident_bytes,a800_spill_bytes,a800_unallocated_bytes,a800_resident_headroom_bytes,a800_spill_headroom_bytes,simulated_state,simulated_feasible,simulated_admission_status,simulated_resident_capacity_bytes,simulated_spill_capacity_bytes,simulated_resident_bytes,simulated_spill_bytes,simulated_unallocated_bytes,simulated_resident_headroom_bytes,simulated_spill_headroom_bytes,timing_modelled
8,32768,25769803776,61064220672,720896,86834745344,oom,False,infeasible,80000000000,0,80000000000,0,6834745344,0,0,resident,True,feasible,96000000000,0,86834745344,0,0,9165254656,0,False
16,16384,25769803776,61064220672,1441792,86835466240,oom,False,infeasible,80000000000,0,80000000000,0,6835466240,0,0,resident,True,feasible,96000000000,0,86835466240,0,0,9164533760,0,False
16,32768,51539607552,61064220672,1441792,112605270016,oom,False,infeasible,80000000000,0,80000000000,0,32605270016,0,0,oom,False,infeasible,96000000000,0,96000000000,0,16605270016,0,0,False
32,16384,51539607552,61064220672,2883584,112606711808,oom,False,infeasible,80000000000,0,80000000000,0,32606711808,0,0,oom,False,infeasible,96000000000,0,96000000000,0,16606711808,0,0,False
