gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,14;31;43;63;83;93;97;120,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,0,True
8,8;26;33;34;41;42;124;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,1,True
8,10;53;56;62;67;72;92;123,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,2,True
10,23;46;56;67;69;80;99;101;108;114,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,3,True
9,12;43;65;95;100;107;108;110;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,4,True
9,4;19;20;32;46;53;65;94;104,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,5,True
9,22;33;49;58;74;82;92;121;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,6,True
8,15;19;24;29;36;52;56;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,7,True
9,22;23;50;53;58;66;83;85;102,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,8,True
9,2;11;13;16;23;26;63;95;98,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,9,True
9,1;5;6;12;28;31;36;90;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,10,True
10,48;52;54;72;81;103;109;110;120;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,11,True
8,11;18;27;41;62;71;92;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,12,True
9,27;30;33;34;61;63;80;93;117,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,13,True
9,2;5;49;63;78;92;97;109;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,14,True
8,2;26;50;58;63;84;88;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,15,True
9,10;35;42;48;82;97;98;107;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,16,True
9,3;34;40;59;80;100;122;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,17,True
9,33;49;58;74;82;91;107;112;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,18,True
9,15;28;29;52;56;88;92;102;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,19,True
8,48;53;68;76;85;92;113;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,20,True
10,2;4;6;8;11;13;26;53;56;63,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,21,True
9,1;6;12;28;36;48;75;92;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,22,True
10,4;14;31;36;48;52;65;81;120;121,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,23,True
10,11;18;20;27;28;37;41;91;108;125,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,24,True
9,13;30;34;43;74;91;110;124;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,25,True
9,2;5;49;72;78;87;97;109;113,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,26,True
9,26;27;44;50;63;84;88;106;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,27,True
9,10;42;49;58;63;91;98;107;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,28,True
9,3;12;13;34;37;59;61;105;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,29,True
8,6;48;58;62;93;104;120;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,30,True
8,11;24;36;38;41;56;72;102,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,31,True
9,10;48;74;76;78;83;85;113;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,32,True
9,4;11;13;15;26;34;53;63;107,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,33,True
10,1;5;22;28;29;42;75;81;84;92,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,34,True
9,15;28;31;62;77;81;104;110;120,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,35,True
9,11;18;20;28;57;62;106;109;125,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,36,True
8,27;30;34;80;86;91;110;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,37,True
8,2;19;91;97;109;110;113;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,38,True
9,14;16;48;50;84;88;99;112;118,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,39,True
9,4;19;34;46;50;53;91;97;98,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,40,True
10,30;37;51;61;80;83;100;116;123;124,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,41,True
8,21;30;43;63;66;76;88;119,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,42,True
10,10;11;29;32;37;45;86;91;94;98,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,43,True
8,15;40;63;79;96;104;108;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,44,True
8,1;4;7;18;53;54;73;89,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,45,True
10,4;20;21;40;48;64;76;102;110;119,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,46,True
9,7;38;46;54;58;71;76;79;110,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,47,True
8,64;67;77;79;86;91;105;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,0,True
8,8;25;68;88;90;98;101;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,1,True
8,6;23;44;46;56;71;72;94,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,2,True
9,3;23;29;37;42;56;71;99;114,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,3,True
8,12;14;19;33;108;110;121;127,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,4,True
8,4;6;12;24;63;65;73;104,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,5,True
8,33;49;58;74;82;92;112;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,6,True
8,15;17;19;24;36;44;63;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,7,True
8,23;50;54;68;76;78;100;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,8,True
8,0;8;13;23;82;92;95;107,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,9,True
