step,start_us,end_us,latency_us
0,0.0,8888.925259776,8888.925259776
1,8888.925259776,17764.377111552,8875.451851776
2,17764.377111552,26584.003427328,8819.626315776
3,26584.003427328,35456.959279104,8872.955851776
4,35456.959279104,44333.973626881,8877.014347777
5,44333.973626881,53212.310854658,8878.337227777
6,53212.310854658,62098.750098435,8886.439243777
7,62098.750098435,70896.895838211,8798.145739776
