layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
10,5,6,1,0.418181818,0.333333333,0.46875,0.299034299,1.0,False
10,6,7,1,0.403225806,0.230769231,0.46875,0.208558109,1.0,False
11,0,1,1,0.260869565,0.454545455,0.53125,0.263369963,1.0,False
11,1,2,1,0.558139535,0.333333333,0.34375,0.286213786,1.0,False
11,2,3,1,0.56097561,0.454545455,0.28125,0.382683983,1.0,False
11,3,4,1,0.489361702,0.333333333,0.40625,0.363636364,1.0,False
11,4,5,1,0.41509434,0.230769231,0.453125,0.26033966,1.0,False
11,5,6,1,0.509803922,0.333333333,0.359375,0.380852481,1.0,False
11,6,7,1,0.393442623,0.333333333,0.484375,0.263564214,1.0,False
12,0,1,1,0.29787234,0.230769231,0.5625,0.218356643,1.0,False
12,1,2,1,0.471698113,0.333333333,0.46875,0.181493506,1.0,False
12,2,3,1,0.5,0.142857143,0.4375,0.276681652,1.0,False
12,3,4,1,0.56,0.230769231,0.390625,0.336530137,1.0,False
12,4,5,1,0.444444444,0.230769231,0.484375,0.220737596,1.0,False
12,5,6,1,0.372881356,0.333333333,0.515625,0.244871795,1.0,False
12,6,7,1,0.373134328,0.142857143,0.484375,0.328449328,1.0,False
13,0,1,1,0.234042553,0.333333333,0.59375,0.21002331,1.0,False
13,1,2,1,0.488888889,0.454545455,0.421875,0.21954712,1.0,False
13,2,3,1,0.488372093,0.6,0.34375,0.296003996,1.0,False
13,3,4,1,0.382978723,0.230769231,0.46875,0.254711955,1.0,False
13,4,5,1,0.294117647,0.230769231,0.5625,0.216841492,1.0,False
13,5,6,1,0.344827586,0.454545455,0.5,0.23956044,1.0,False
13,6,7,1,0.34375,0.230769231,0.546875,0.215750916,1.0,False
14,0,1,1,0.395833333,0.142857143,0.546875,0.221328671,1.0,False
14,1,2,1,0.557692308,0.230769231,0.390625,0.208874459,1.0,False
14,2,3,1,0.38,0.333333333,0.46875,0.213919414,1.0,False
14,3,4,1,0.36,0.333333333,0.46875,0.267482517,1.0,False
14,4,5,1,0.315789474,0.142857143,0.625,0.171378621,1.0,False
14,5,6,1,0.537037037,0.454545455,0.390625,0.31954712,1.0,False
14,6,7,1,0.428571429,0.142857143,0.46875,0.241891442,1.0,False
15,0,1,1,0.454545455,0.333333333,0.46875,0.346522922,1.0,False
15,1,2,1,0.490196078,0.230769231,0.421875,0.233558109,1.0,False
15,2,3,1,0.470588235,0.230769231,0.4375,0.286480186,1.0,False
15,3,4,1,0.450980392,0.454545455,0.40625,0.308558109,1.0,False
15,4,5,1,0.428571429,0.333333333,0.453125,0.306105006,1.0,False
15,5,6,1,0.433962264,0.333333333,0.4375,0.303196803,1.0,False
15,6,7,1,0.370967742,0.454545455,0.46875,0.332245532,1.0,False
16,0,1,1,0.301886792,0.333333333,0.578125,0.20952381,1.0,False
16,1,2,1,0.568627451,0.333333333,0.390625,0.197569098,1.0,False
16,2,3,1,0.454545455,0.230769231,0.46875,0.221611722,1.0,False
16,3,4,1,0.442307692,0.333333333,0.484375,0.280852481,1.0,False
16,4,5,1,0.377358491,0.066666667,0.609375,0.179120879,1.0,False
16,5,6,1,0.545454545,0.142857143,0.421875,0.306493506,1.0,False
16,6,7,1,0.483333333,0.333333333,0.40625,0.303196803,1.0,False
17,0,1,1,0.36,0.230769231,0.5625,0.199358974,1.0,False
17,1,2,1,0.454545455,0.454545455,0.40625,0.149034299,1.0,False
17,2,3,1,0.480769231,0.333333333,0.4375,0.257367632,1.0,False
17,3,4,1,0.4,0.333333333,0.515625,0.19459707,1.0,False
17,4,5,1,0.358490566,0.230769231,0.53125,0.220737596,1.0,False
17,5,6,1,0.37704918,0.142857143,0.53125,0.222202797,1.0,False
