step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,5,17,8,0.125,0.787290819,2
0,5,68,8,0.125,0.988105111,3
0,5,47,6,0.09375,1.169582978,4
0,5,105,4,0.0625,0.40175467,5
0,5,107,4,0.0625,0.380425796,6
0,5,34,3,0.046875,0.34070804,7
0,5,37,2,0.03125,0.179676928,8
0,5,44,2,0.03125,0.229705572,0
0,5,51,2,0.03125,0.381412491,0
0,5,61,2,0.03125,0.10980279,0
0,5,82,2,0.03125,0.487658307,0
0,5,95,2,0.03125,0.129517592,0
0,5,125,2,0.03125,0.144484997,0
0,5,2,1,0.015625,0.148660094,0
0,5,8,1,0.015625,0.049639501,0
0,5,12,1,0.015625,0.06553904,0
0,5,19,1,0.015625,0.06535849,0
0,5,22,1,0.015625,0.078837387,0
0,5,25,1,0.015625,0.135356545,0
0,5,59,1,0.015625,0.066387735,0
0,5,63,1,0.015625,0.062365554,0
0,5,70,1,0.015625,0.042097956,0
0,6,8,8,0.125,1.837822869,1
0,6,53,6,0.09375,0.636100814,2
0,6,56,6,0.09375,0.62907701,3
0,6,71,6,0.09375,0.608527757,4
0,6,34,5,0.078125,0.629459582,5
0,6,30,4,0.0625,0.532241005,6
0,6,80,4,0.0625,0.568294384,7
0,6,25,3,0.046875,0.303830706,8
0,6,83,3,0.046875,0.338375546,0
0,6,13,2,0.03125,0.150745466,0
0,6,63,2,0.03125,0.166296054,0
0,6,76,2,0.03125,0.125134025,0
0,6,105,2,0.03125,0.199959174,0
0,6,12,1,0.015625,0.082829721,0
0,6,16,1,0.015625,0.084134087,0
0,6,27,1,0.015625,0.100181997,0
0,6,38,1,0.015625,0.056673344,0
0,6,40,1,0.015625,0.240324125,0
0,6,46,1,0.015625,0.090193361,0
0,6,51,1,0.015625,0.080848828,0
0,6,64,1,0.015625,0.291147709,0
0,6,106,1,0.015625,0.068854019,0
0,6,107,1,0.015625,0.101485088,0
0,6,115,1,0.015625,0.077463329,0
0,7,18,7,0.109375,1.144024618,1
0,7,109,7,0.109375,0.945475593,2
0,7,3,6,0.09375,0.980874948,3
0,7,59,6,0.09375,0.65657407,4
0,7,9,5,0.078125,0.475322992,5
0,7,16,3,0.046875,0.346789725,6
0,7,28,2,0.03125,0.292494103,7
0,7,31,2,0.03125,0.208695672,8
0,7,49,2,0.03125,0.282224439,0
0,7,51,2,0.03125,0.229320459,0
0,7,75,2,0.03125,0.19272875,0
0,7,95,2,0.03125,0.332881585,0
0,7,6,1,0.015625,0.126051545,0
0,7,21,1,0.015625,0.104500413,0
0,7,24,1,0.015625,0.092500359,0
0,7,25,1,0.015625,0.138440549,0
0,7,34,1,0.015625,0.109515503,0
0,7,39,1,0.015625,0.086306639,0
0,7,41,1,0.015625,0.074567884,0
0,7,45,1,0.015625,0.06457565,0
0,7,50,1,0.015625,0.067920335,0
0,7,71,1,0.015625,0.208331928,0
0,7,72,1,0.015625,0.13931115,0
0,7,73,1,0.015625,0.09060926,0
0,7,78,1,0.015625,0.104500413,0
0,7,97,1,0.015625,0.147729456,0
0,7,106,1,0.015625,0.105932966,0
0,7,110,1,0.015625,0.062588871,0
0,7,117,1,0.015625,0.128349572,0
0,7,122,1,0.015625,0.060860552,0
0,8,36,8,0.125,0.859218206,1
0,8,38,8,0.125,0.719311435,2
0,8,116,8,0.125,1.61311911,3
0,8,3,7,0.109375,0.581002422,4
0,8,46,7,0.109375,1.014253519,5
0,8,109,6,0.09375,1.089770153,6
0,8,26,3,0.046875,0.294256143,7
0,8,84,3,0.046875,0.434017159,8
0,8,43,2,0.03125,0.196888492,0
0,8,66,2,0.03125,0.325109184,0
0,8,42,1,0.015625,0.0616799,0
0,8,57,1,0.015625,0.0634747,0
0,8,59,1,0.015625,0.1016929,0
0,8,82,1,0.015625,0.088963769,0
0,8,90,1,0.015625,0.074302822,0
0,8,103,1,0.015625,0.088827491,0
0,8,111,1,0.015625,0.068731315,0
0,8,121,1,0.015625,0.050518833,0
0,8,122,1,0.015625,0.088963769,0
0,8,127,1,0.015625,0.185898677,0
0,9,10,8,0.125,1.811492607,1
0,9,114,7,0.109375,0.683213107,2
0,9,19,6,0.09375,0.768771045,3
0,9,65,5,0.078125,0.578373022,4
0,9,9,4,0.0625,0.528446801,5
0,9,49,4,0.0625,0.454663821,6
0,9,117,4,0.0625,0.366272062,7
0,9,122,4,0.0625,0.407755792,8
0,9,87,3,0.046875,0.264981925,0
0,9,110,3,0.046875,0.327985689,0
0,9,45,2,0.03125,0.240342177,0
0,9,62,2,0.03125,0.163713709,0
0,9,98,2,0.03125,0.379782692,0
0,9,0,1,0.015625,0.083201721,0
0,9,27,1,0.015625,0.090441555,0
0,9,32,1,0.015625,0.131591752,0
0,9,64,1,0.015625,0.11900524,0
0,9,77,1,0.015625,0.123560451,0
0,9,80,1,0.015625,0.050138533,0
0,9,84,1,0.015625,0.03744667,0
0,9,96,1,0.015625,0.114153333,0
0,9,102,1,0.015625,0.086259112,0
0,9,118,1,0.015625,0.188407183,0
0,10,53,8,0.125,1.847893372,1
0,10,26,6,0.09375,0.558359157,2
0,10,30,4,0.0625,0.597101599,3
