step,layer,active_experts,runtime_gpu_prefix,oracle_gpu_prefix,prefix_match,prefix_delta,prediction_extrapolated,runtime_predicted_objective_us,runtime_selected_actual_objective_us,oracle_objective_us,regret_us,regret_percent
1,14,43,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
1,15,38,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
1,16,41,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
1,17,39,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
1,18,40,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
1,19,39,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
1,20,41,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
1,21,40,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
1,22,39,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
1,23,38,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
1,24,37,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
1,25,36,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
1,26,41,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
1,27,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
1,28,38,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
1,29,39,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
1,30,42,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
1,31,41,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
1,32,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
1,33,43,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
1,34,36,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
1,35,33,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
1,36,37,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
1,37,34,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
1,38,38,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
1,39,39,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
1,40,39,14,14,True,0,False,64.66623200000001,64.68776,64.68776,0.0,0.0
1,41,41,15,15,True,0,False,67.29698464,67.41585664,67.41585664,0.0,0.0
1,42,35,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
1,43,35,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
1,44,35,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
1,45,33,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
1,46,31,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
1,47,30,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
2,0,35,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
2,1,35,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
2,2,31,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
2,3,32,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
2,4,36,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
2,5,33,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
2,6,38,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,7,36,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
2,8,37,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
2,9,36,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
2,10,36,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
2,11,33,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
2,12,40,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
2,13,32,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
2,14,38,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
2,15,38,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,16,39,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,17,41,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,18,41,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,19,38,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
2,20,38,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
2,21,38,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
2,22,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,23,39,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
2,24,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,25,38,14,14,True,0,False,64.325149248,64.30018924800001,64.30018924800001,0.0,0.0
2,26,39,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
2,27,40,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
2,28,42,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
2,29,42,14,14,True,0,False,64.320954944,64.23702694400001,64.23702694400001,0.0,0.0
2,30,45,15,15,True,0,False,67.292790336,67.19388633599999,67.19388633599999,0.0,0.0
2,31,43,14,14,True,0,False,66.20532800000001,66.208136,66.208136,0.0,0.0
2,32,38,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
2,33,40,13,13,True,0,False,63.127136,63.12932,63.12932,0.0,0.0
2,34,39,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
2,35,32,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
2,36,32,12,12,True,0,False,58.509848000000005,58.531064,58.531064,0.0,0.0
2,37,31,12,12,True,0,False,58.37728416,58.28399616,58.28399616,0.0,0.0
2,38,33,12,12,True,0,False,58.381478464000004,58.345286464,58.345286464,0.0,0.0
2,39,30,11,11,True,0,False,56.970752000000005,56.97356,56.97356,0.0,0.0
2,40,36,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
2,41,33,13,13,True,0,False,61.353313856,61.265329855999994,61.265329855999994,0.0,0.0
2,42,33,13,13,True,0,False,61.58804000000001,61.60988,61.60988,0.0,0.0
2,43,32,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
2,44,34,13,13,True,0,False,61.349119552000005,61.376263552000005,61.376263552000005,0.0,0.0
2,45,33,12,12,True,0,False,60.048944000000006,60.051752,60.051752,0.0,0.0
