step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,17,122,8,0.125,1.45659554,7
0,17,124,8,0.125,0.934704117,8
0,18,58,8,0.125,1.165064096,1
0,18,82,8,0.125,0.988804027,2
0,18,87,8,0.125,0.834257945,3
0,18,91,8,0.125,0.965929441,4
0,18,104,8,0.125,0.827766985,5
0,18,107,8,0.125,0.826252684,6
0,18,112,8,0.125,1.359491497,7
0,18,126,8,0.125,1.032433324,8
0,19,10,8,0.125,0.878846668,1
0,19,29,8,0.125,1.060091361,2
0,19,52,8,0.125,1.139568403,3
0,19,56,8,0.125,1.093757555,4
0,19,76,8,0.125,0.926531121,5
0,19,92,8,0.125,1.035594478,6
0,19,102,8,0.125,0.930070318,7
0,19,114,8,0.125,0.935540095,8
0,20,11,8,0.125,0.852983311,1
0,20,48,8,0.125,0.899233192,2
0,20,53,8,0.125,0.858013436,3
0,20,76,8,0.125,0.897450976,4
0,20,85,8,0.125,1.462516353,5
0,20,92,8,0.125,0.802886888,6
0,20,102,8,0.125,1.231500655,7
0,20,114,8,0.125,0.995415188,8
0,21,2,8,0.125,0.93963486,1
0,21,14,8,0.125,0.969829127,2
0,21,26,8,0.125,0.81483753,3
0,21,39,8,0.125,0.963757314,4
0,21,44,8,0.125,0.943269521,5
0,21,56,8,0.125,0.903647207,6
0,21,63,8,0.125,1.489869744,7
0,21,67,8,0.125,0.975154698,8
0,22,1,8,0.125,0.965175599,1
0,22,8,8,0.125,0.917344518,2
0,22,36,8,0.125,1.093947738,3
0,22,48,8,0.125,0.928123958,4
0,22,59,8,0.125,0.968955398,5
0,22,75,8,0.125,1.273666903,6
0,22,84,8,0.125,1.102498636,7
0,22,81,7,0.109375,0.660108887,8
0,22,92,1,0.015625,0.090178363,0
0,23,14,8,0.125,1.10526906,1
0,23,17,8,0.125,1.016244903,2
0,23,31,8,0.125,1.147249728,3
0,23,32,8,0.125,0.950945415,4
0,23,36,8,0.125,1.028300911,5
0,23,65,8,0.125,0.912781417,6
0,23,104,8,0.125,0.949374802,7
0,23,121,7,0.109375,0.778815337,8
0,23,108,1,0.015625,0.111018427,0
0,24,11,8,0.125,0.971366249,1
0,24,18,8,0.125,1.378019467,2
0,24,57,8,0.125,1.079381928,3
0,24,91,8,0.125,1.124569222,4
0,24,111,8,0.125,0.986705847,5
0,24,125,8,0.125,0.85386797,6
0,24,28,7,0.109375,0.702048406,7
0,24,77,7,0.109375,0.70582819,8
0,24,54,1,0.015625,0.09554521,0
0,24,109,1,0.015625,0.102667511,0
0,25,13,8,0.125,1.085382491,1
0,25,31,8,0.125,0.901515208,2
0,25,34,8,0.125,1.031574801,3
0,25,43,8,0.125,0.801836357,4
0,25,53,8,0.125,0.841978759,5
0,25,72,8,0.125,1.068517938,6
0,25,84,8,0.125,0.845306359,7
0,25,110,8,0.125,1.423888087,8
0,26,2,8,0.125,0.948362395,1
0,26,61,8,0.125,1.02349174,2
0,26,72,8,0.125,1.388032556,3
0,26,87,8,0.125,0.961406268,4
0,26,97,8,0.125,0.944701232,5
0,26,109,8,0.125,0.955906041,6
0,26,121,8,0.125,0.924678676,7
0,26,5,6,0.09375,0.640133813,8
0,26,49,2,0.03125,0.213287279,0
0,27,24,8,0.125,0.913511276,1
0,27,26,8,0.125,0.961071014,2
0,27,63,8,0.125,1.157044694,3
0,27,84,8,0.125,1.357973024,4
0,27,106,8,0.125,0.999360293,5
0,27,111,8,0.125,0.890704051,6
0,27,118,8,0.125,0.904658176,7
0,27,27,6,0.09375,0.612667814,8
0,27,44,2,0.03125,0.203009658,0
0,28,10,8,0.125,0.769861735,1
0,28,42,8,0.125,1.021893442,2
0,28,53,8,0.125,0.762404054,3
0,28,70,8,0.125,0.905419506,4
0,28,91,8,0.125,1.294360965,5
0,28,98,8,0.125,0.795883402,6
0,28,107,8,0.125,0.848828331,7
0,28,122,8,0.125,1.601348564,8
0,29,13,8,0.125,0.853657208,1
0,29,34,8,0.125,1.019666225,2
0,29,50,8,0.125,0.845375523,3
0,29,51,8,0.125,0.874083564,4
0,29,59,8,0.125,1.085514754,5
0,29,105,8,0.125,0.984657228,6
0,29,124,8,0.125,1.498274997,7
0,29,12,7,0.109375,0.734449871,8
0,29,61,1,0.015625,0.10432063,0
0,30,6,8,0.125,0.931172885,1
0,30,18,8,0.125,0.902520172,2
0,30,58,8,0.125,1.061328024,3
0,30,91,8,0.125,1.282702997,4
0,30,93,8,0.125,0.989325725,5
0,30,94,8,0.125,0.89721784,6
0,30,120,8,0.125,1.059278086,7
0,30,62,5,0.078125,0.548206449,8
0,30,82,2,0.03125,0.217472471,0
0,30,126,1,0.015625,0.110775352,0
0,31,24,8,0.125,1.148725152,1
0,31,28,8,0.125,0.961768284,2
0,31,29,8,0.125,0.939490184,3
0,31,38,8,0.125,0.965446807,4
0,31,41,8,0.125,1.007834367,5
0,31,59,8,0.125,0.965439096,6
0,31,72,8,0.125,1.079195946,7
0,31,87,7,0.109375,0.817201346,8
0,31,114,1,0.015625,0.114898816,0
0,32,11,8,0.125,1.115253985,1
0,32,83,8,0.125,1.009389542,2
0,32,85,8,0.125,1.234299868,3
0,32,99,8,0.125,0.899521522,4
0,32,102,8,0.125,0.978495881,5
0,32,118,8,0.125,1.019360214,6
0,32,6,4,0.0625,0.434668951,7
0,32,10,4,0.0625,0.434985101,8
0,32,48,4,0.0625,0.440901063,0
0,32,28,3,0.046875,0.325485386,0
0,32,50,1,0.015625,0.107638486,0
0,33,13,8,0.125,0.765132301,1
0,33,14,8,0.125,1.120049506,2
0,33,26,8,0.125,1.429626346,3
0,33,39,8,0.125,0.980514452,4
0,33,44,8,0.125,0.896312401,5
0,33,63,8,0.125,1.04583016,6
0,33,67,8,0.125,0.913944259,7
0,33,124,8,0.125,0.848590575,8
0,34,1,8,0.125,0.806609362,1
0,34,29,8,0.125,0.747666024,2
0,34,42,8,0.125,0.946685098,3
0,34,59,8,0.125,0.81927985,4
0,34,75,8,0.125,1.155354068,5
0,34,81,8,0.125,1.104829043,6
0,34,84,8,0.125,1.304175347,7
0,34,92,8,0.125,1.115401208,8
0,35,6,8,0.125,0.876363531,1
0,35,17,8,0.125,0.89887666,2
0,35,28,8,0.125,1.00857798,3
0,35,31,8,0.125,1.245630503,4
0,35,32,8,0.125,1.287540674,5
0,35,36,8,0.125,0.890067354,6
0,35,70,8,0.125,0.985520624,7
0,35,104,8,0.125,0.807422675,8
0,36,11,8,0.125,1.408727467,1
0,36,18,8,0.125,1.414279461,2
0,36,33,8,0.125,0.794904843,3
0,36,47,8,0.125,0.812180839,4
0,36,62,8,0.125,1.209690988,5
0,36,77,8,0.125,0.823464721,6
0,36,109,8,0.125,0.81720522,7
0,36,49,6,0.09375,0.54265634,8
0,36,28,2,0.03125,0.17689012,0
0,37,13,8,0.125,1.30215688,1
0,37,27,8,0.125,0.842264801,2
0,37,31,8,0.125,0.682133883,3
0,37,34,8,0.125,0.986665986,4
0,37,72,8,0.125,0.891474977,5
0,37,91,8,0.125,1.307216465,6
0,37,110,8,0.125,1.307259798,7
0,37,97,7,0.109375,0.599047214,8
0,37,53,1,0.015625,0.081779994,0
0,38,2,8,0.125,1.073576212,1
0,38,19,8,0.125,0.975586951,2
0,38,29,8,0.125,0.862632327,3
0,38,91,8,0.125,1.067281306,4
0,38,109,8,0.125,0.973603062,5
0,38,110,8,0.125,1.142812848,6
0,38,113,8,0.125,1.065144762,7
0,38,121,4,0.0625,0.42316249,8
0,38,12,3,0.046875,0.31306199,0
0,38,97,1,0.015625,0.103138052,0
0,39,14,8,0.125,1.022226885,1
0,39,16,8,0.125,1.092386127,2
0,39,26,8,0.125,0.893336095,3
0,39,48,8,0.125,0.967827149,4
0,39,63,8,0.125,0.962238632,5
0,39,79,8,0.125,0.897353023,6
0,39,84,8,0.125,1.169793472,7
0,39,118,8,0.125,0.994838618,8
0,40,4,8,0.125,0.946015902,1
0,40,10,8,0.125,0.741239123,2
0,40,19,8,0.125,0.799728505,3
0,40,48,8,0.125,1.078398779,4
0,40,53,8,0.125,0.902823798,5
0,40,91,8,0.125,1.043194711,6
0,40,98,8,0.125,1.043204293,7
0,40,122,8,0.125,1.445394889,8
0,41,37,8,0.125,0.818170354,1
0,41,72,8,0.125,0.85750211,2
0,41,80,8,0.125,1.00245662,3
0,41,100,8,0.125,1.010273032,4
0,41,105,8,0.125,1.37586318,5
0,41,116,8,0.125,0.958391316,6
0,41,124,8,0.125,1.181224331,7
0,41,34,4,0.0625,0.393719532,8
0,41,51,2,0.03125,0.203000478,0
0,41,118,2,0.03125,0.199399047,0
0,42,30,8,0.125,1.049232945,1
0,42,33,8,0.125,0.736853264,2
0,42,39,8,0.125,1.746904135,3
0,42,43,8,0.125,0.968494236,4
0,42,63,8,0.125,0.933367461,5
0,42,88,8,0.125,0.953560382,6
0,42,119,8,0.125,0.890465513,7
0,42,15,4,0.0625,0.35901311,8
0,42,76,3,0.046875,0.27158922,0
0,42,95,1,0.015625,0.090519734,0
0,43,10,8,0.125,0.956954017,1
0,43,11,8,0.125,1.406124711,2
0,43,32,8,0.125,1.142994136,3
0,43,98,8,0.125,1.065499678,4
0,43,99,8,0.125,0.913071707,5
0,43,45,7,0.109375,0.745264694,6
0,43,30,5,0.078125,0.519758061,7
0,43,86,5,0.078125,0.524279065,8
0,43,37,3,0.046875,0.311942905,0
0,43,69,3,0.046875,0.309949927,0
0,43,92,1,0.015625,0.104161099,0
0,44,12,8,0.125,0.797806233,1
0,44,15,8,0.125,1.183626533,2
0,44,49,8,0.125,0.813483484,3
0,44,50,8,0.125,0.960388169,4
0,44,63,8,0.125,0.975910939,5
0,44,79,8,0.125,1.307543352,6
0,44,112,8,0.125,1.178981662,7
0,44,40,7,0.109375,0.68508435,8
0,44,96,1,0.015625,0.097175278,0
0,45,1,8,0.125,1.014163546,1
0,45,4,8,0.125,1.030143708,2
0,45,18,8,0.125,0.960195281,3
0,45,53,8,0.125,1.008166716,4
0,45,65,8,0.125,0.948976934,5
0,45,72,8,0.125,0.945260935,6
0,45,121,8,0.125,1.12921074,7
0,45,2,7,0.109375,0.84413892,8
0,45,92,1,0.015625,0.119743221,0
0,46,4,8,0.125,1.036393672,1
0,46,13,8,0.125,0.884738326,2
0,46,17,8,0.125,0.855763152,3
0,46,21,8,0.125,0.904087156,4
0,46,48,8,0.125,1.214558542,5
0,46,64,8,0.125,1.061030179,6
0,46,102,8,0.125,1.190978959,7
