step,start_us,end_us,latency_us
0,0.0,6176.4460832,6176.4460832
1,6176.4460832,12354.277237312,6177.831154112
2,12354.277237312,18532.184451904,6177.907214592
3,18532.184451904,24711.114470016,6178.930018112
4,24711.114470016,30891.307084609,6180.192614592
5,30891.307084609,37071.393445505,6180.086360896
6,37071.393445505,43252.815960833,6181.422515328
7,43252.815960833,49435.349508161,6182.533547328
