gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,26;43;44;59;65;66;73;114,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,0,True
8,26;33;34;49;50;94;104;124,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,1,True
8,18;53;56;62;67;72;82;123,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,2,True
10,46;51;56;67;71;80;99;101;108;114,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,3,True
9,12;43;65;100;107;108;114;121;127,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,4,True
10,4;20;32;38;46;65;73;84;94;104,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,5,True
9,22;33;49;58;74;82;92;112;126,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,6,True
8,15;19;24;29;52;56;114;125,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,7,True
8,17;23;50;53;66;83;92;102,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,8,True
8,2;6;11;13;23;26;63;85,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,9,True
8,1;5;12;28;31;90;92;98,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,10,True
9,15;17;54;62;81;104;108;120;121,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,11,True
9,11;18;27;33;39;41;49;89;108,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,12,True
9,13;27;33;34;63;85;91;93;97,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,13,True
8,2;5;49;61;63;92;109;113,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,14,True
8,2;26;50;58;63;84;88;127,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,15,True
9,42;46;48;54;62;97;98;107;122,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,16,True
10,13;34;39;59;60;61;80;122;123;124,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,17,True
8,49;58;82;87;91;104;112;126,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,18,True
8,10;15;29;52;56;76;102;114,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,19,True
9,23;48;53;76;85;92;102;113;114,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,20,True
9,2;6;11;13;15;26;38;56;63,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,21,True
12,0;1;6;7;8;12;28;36;48;75;92;114,128,0,35.209512,3.536870912,38.746382912,0.0,20.0,58.746382912,0,22,True
10,14;31;32;36;48;52;65;81;104;121,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,23,True
9,11;18;20;28;47;57;59;91;108,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,24,True
10,13;34;43;72;74;97;108;110;119;126,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,25,True
10,2;19;29;49;61;72;89;97;116;121,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,26,True
9,11;26;27;50;63;79;84;88;118,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,27,True
8,10;42;53;70;91;98;107;122,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,28,True
10,3;13;34;37;51;59;61;95;105;124,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,29,True
11,6;48;58;62;65;84;91;93;104;120;126,128,0,32.264232,3.536870912,35.801102912,0.0,20.0,55.801102912,0,30,True
12,10;11;24;36;38;41;56;72;84;87;102;114,128,0,35.209512,3.536870912,38.746382912,0.0,20.0,58.746382912,0,31,True
11,10;11;48;50;75;76;83;85;90;102;118,128,0,32.264232,3.536870912,35.801102912,0.0,20.0,55.801102912,0,32,True
9,4;11;13;15;26;38;44;53;63,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,33,True
10,0;1;5;28;42;75;81;84;92;114,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,34,True
10,15;17;28;31;32;62;65;104;110;120,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,35,True
8,11;18;28;33;47;57;62;109,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,36,True
9,27;34;72;85;86;91;97;110;122,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,37,True
10,2;19;29;49;91;109;110;113;116;121,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,38,True
9,14;16;33;48;50;63;79;84;118,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,39,True
11,10;19;33;34;46;48;50;53;97;98;122,128,0,32.264232,3.536870912,35.801102912,0.0,20.0,55.801102912,0,40,True
10,10;34;61;72;80;100;105;116;123;124,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,41,True
10,14;30;39;43;50;58;66;76;88;112,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,42,True
9,10;11;69;92;94;96;98;99;123,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,43,True
10,15;19;40;49;50;63;79;107;113;127,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,44,True
10,4;18;39;53;65;86;98;113;121;127,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,45,True
9,4;18;41;43;46;48;74;76;90,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,46,True
10,14;41;46;54;55;58;65;79;109;110,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,47,True
8,14;31;43;63;83;93;97;120,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,0,True
8,8;26;33;34;41;42;124;126,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,1,True
8,10;53;56;62;67;72;92;123,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,2,True
12,23;46;51;56;67;69;80;87;99;101;108;114,128,0,35.209512,3.536870912,38.746382912,0.0,20.0,58.746382912,1,3,True
9,12;43;65;95;100;107;108;110;127,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,4,True
9,4;19;20;32;46;53;65;94;104,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,5,True
10,22;33;49;58;62;74;82;92;121;126,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,1,6,True
8,15;19;24;29;36;52;56;114,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,7,True
9,22;23;50;53;58;66;83;85;102,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,8,True
9,2;11;13;16;23;26;63;95;98,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,9,True
9,1;5;6;12;28;31;36;90;92,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,10,True
10,48;52;54;72;81;103;109;110;120;121,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,1,11,True
8,11;18;27;41;62;71;92;125,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,12,True
9,27;30;33;34;61;63;80;93;117,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,13,True
9,2;5;49;63;78;92;97;109;113,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,14,True
8,2;26;50;58;63;84;88;127,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,15,True
9,10;35;42;48;82;97;98;107;122,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,16,True
10,3;12;34;40;59;80;100;122;123;124,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,1,17,True
8,33;49;58;82;91;107;112;126,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,1,18,True
9,15;28;29;52;56;88;92;102;114,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,1,19,True
