policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,24052.270639105,3006.533829888,3299.195225088,2660.871439553,9.130208333,0.0,24576,0,True
noexp,63540.573487104,7942.571685888,8235.823826688,1007.230443285,9.130208333,0.0,24576,0,True
allexp,89880.801023998,11235.100128,11237.174937599,712.054179211,0.0,9.130208333,0,24576,True
pimoe,62389.8571152,7798.7321394,7846.780532762,1025.807766827,8.091145833,1.0390625,23855,721,True
sieve,71220.573487103,8902.571685888,9195.823826688,898.616746067,9.130208333,0.0,24576,0,True
sieve-cycle-v1,68817.795903104,8602.224487888,8633.476979773,929.992005122,7.0390625,2.091145833,21232,3344,True
sieve-fixed-16-cycle-v1,71169.452119936,8896.181514992,9162.594938029,899.262226891,9.0859375,0.044270833,24559,17,True
