policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,31176.892766207,3897.111595776,4183.285963776,4105.604781075,9.244791667,0.0,49152,0,True
noexp,122638.306910209,15329.788363776,15619.155134976,1043.719562222,9.244791667,0.0,49152,0,True
allexp,186583.086335994,23322.885791999,23327.634681597,686.021453035,0.0,9.244791667,0,49152,True
pimoe,121755.307259906,15219.413407488,15306.137734934,1051.288875045,8.481770833,0.763020833,48651,501,True
sieve,130318.306910209,16289.788363776,16579.155134976,982.21042795,9.244791667,0.0,49152,0,True
sieve-cycle-v1,128294.470507651,16036.808813457,16103.70905841,997.704729545,7.216145833,2.028645833,43295,5857,True
sieve-fixed-16-cycle-v1,130279.203088257,16284.900386032,16553.737650707,982.505242324,9.2109375,0.033854167,49139,13,True
