step,start_us,end_us,latency_us
0,0.0,18480.44928,18480.44928
1,18480.44928,36962.081664,18481.632384
2,36962.081664,55443.714048,18481.632384
3,55443.714048,73926.529535999,18482.815487999
4,73926.529535999,92410.513151999,18483.983615999
5,92410.513151999,110894.496767998,18483.983615999
6,110894.496767998,129379.663487996,18485.166719999
7,129379.663487996,147866.013311999,18486.349824002
