gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
10,2;15;49;50;79;82;96;108;112;127,64,0,29.249064,3.268435456,32.517499456,0.0,20.0,52.517499456,0,44,True
9,1;2;4;18;53;54;58;107;126,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,0,45,True
8,4;15;64;70;76;102;107;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,46,True
8,7;22;36;46;48;58;110;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,0,47,True
8,23;30;41;79;86;105;112;125,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,0,True
8,9;16;28;29;48;68;88;101,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,1,True
8,23;25;44;56;71;72;74;126,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,2,True
8,3;30;32;53;56;99;101;114,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,3,True
8,12;19;26;60;64;65;100;108,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,4,True
8,4;17;20;46;63;65;73;104,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,5,True
8,22;33;39;49;58;74;82;112,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,6,True
8,15;19;29;44;56;63;114;115,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,7,True
8,11;17;22;45;50;85;100;124,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,8,True
9,6;13;23;38;39;63;66;67;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,9,True
9,1;5;6;19;36;42;48;66;92,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,10,True
8,14;17;22;36;52;62;117;121,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,11,True
8,11;19;20;28;41;57;59;111,64,0,23.288616,3.268435456,26.557051456,0.0,20.0,46.557051456,1,12,True
9,13;27;34;52;84;93;104;110;117,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,13,True
9,2;5;14;24;61;66;97;102;109,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,14,True
9,2;58;63;64;79;84;111;122;127,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,15,True
9,6;42;48;70;93;97;107;116;122,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,16,True
9,73;75;80;90;94;105;122;123;124,64,0,26.303784,3.268435456,29.572219456,0.0,20.0,49.572219456,1,17,True
