policy,layer_records,dual_row_buffer,total_gpu_blocked_by_pim_cycles,total_gpu_column_issues,total_gpu_contended_us,total_gpu_contention_delta_us,total_gpu_isolated_us,total_pim_blocked_by_gpu_cycles,total_pim_column_issues,total_pim_contended_us,total_pim_contention_delta_us,total_pim_isolated_us,total_pim_queue_wait_cycles,total_pim_row_activations,total_pim_row_conflicts,total_total_memory_phase_us,mean_gpu_blocked_by_pim_cycles,mean_gpu_column_issues,mean_gpu_contended_us,mean_gpu_contention_delta_us,mean_gpu_isolated_us,mean_pim_blocked_by_gpu_cycles,mean_pim_column_issues,mean_pim_contended_us,mean_pim_contention_delta_us,mean_pim_isolated_us,mean_pim_queue_wait_cycles,mean_pim_row_activations,mean_pim_row_conflicts,mean_total_memory_phase_us
sieve-runtime-v1,384,True,441857792,1444478976,14378.166192,-13.260624,14391.426816,504448,453940992,15478.567728,1.109472,15477.458256,705532165248,14265600,14167296,15482.688,1150671.333333333,3761664.0,37.443141125,-0.034532875,37.477674,1313.666666667,1182138.0,40.308770125,0.00288925,40.305880875,1837323347.0,37150.0,36894.0,40.3195
sieve-cycle-v1,384,True,441731840,1445658624,14389.431888,-13.776048,14403.207936,503936,453579520,15466.253712,1.108224,15465.145488,704844335232,14254336,14156032,15470.373984,1150343.333333333,3764736.0,37.472478875,-0.035875125,37.508354,1312.333333333,1181196.666666667,40.276702375,0.002886,40.273816375,1835532123.0,37120.666666667,36864.666666667,40.28743225
sieve,384,True,307319040,2179399680,21710.602056,-107.612856,21818.214912,537472,307319040,10484.247384,1.13724,10483.110144,412397419776,9696768,9598464,21710.602056,800310.0,5675520.0,56.538026187,-0.280241812,56.818268,1399.666666667,800310.0,27.302727562,0.002961563,27.299766,1073951614.0,25252.0,24996.0,56.538026187
sieve-fixed-16-cycle-v1,384,True,366966400,1811939328,18046.013856,-52.062816,18098.076672,557440,367187712,12523.58484,1.190904,12522.393936,535101795840,11562240,11463936,18065.039304,955641.666666667,4718592.0,46.99482775,-0.13558025,47.130408,1451.666666667,956218.0,32.613502187,0.003101312,32.610400875,1393494260.0,30110.0,29854.0,47.044373188
