policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
sieve-runtime-v1,30551.115980865,3818.889497608,4035.809598016,2094.849826111,12.755208333,24.075520833,14530,10046,True
sieve-cycle-v1,30551.096427585,3818.887053448,4035.809598016,2094.851166854,12.765625,24.065104167,14538,10038,True
sieve,37673.216097601,4709.1520122,5141.693925805,1698.819655699,19.244791667,17.5859375,17775,6801,True
sieve-fixed-16-cycle-v1,34003.663205377,4250.457900672,4255.285601072,1882.150155807,16.0,20.830729167,16450,8126,True
