step,start_us,end_us,latency_us
0,0.0,3097.770187776,3097.770187776
1,3097.770187776,6181.080471552,3083.310283776
2,6181.080471552,9207.578723328,3026.498251776
3,9207.578723328,12285.251887104,3077.673163776
4,12285.251887104,15365.99705088,3080.745163776
5,15365.99705088,18447.078598655,3081.081547776
6,18447.078598655,21534.107538431,3087.028939776
7,21534.107538431,24531.856478207,2997.748939776
