policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,49714.590511105,6214.323813888,7089.150962688,1287.348429144,36.830729167,0.0,24576,0,True
noexp,50254.422703104,6281.802837888,7158.710412288,1273.519753238,36.830729167,0.0,24576,0,True
allexp,44893.343616,5611.667952,5614.028544,1425.601099072,0.0,36.830729167,0,24576,True
pimoe,35457.817150273,4432.227143784,5022.1234224,1804.961645799,3.315104167,33.515625,6136,18440,True
sieve,37673.216097601,4709.1520122,5141.693925805,1698.819655699,19.244791667,17.5859375,17775,6801,True
sieve-cycle-v1,30551.096427585,3818.887053448,4035.809598016,2094.851166854,12.765625,24.065104167,14538,10038,True
sieve-fixed-16-cycle-v1,34003.663205377,4250.457900672,4255.285601072,1882.150155807,16.0,20.830729167,16450,8126,True
