variant,shape_key,shape,total_completion_us,baseline_total_completion_us,delta_total_completion_us,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_injection_rejected_attempts,kv_injection_rejected_attempts
rb128-dual,cdf700c1a76b5dbd55ae7847ef3095b4b4175691e5eb606f84bace92efe889c5,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",98.568912,98.559552,0.009360000000000923,0.16049370052083334,0.16904230078125,11283712,38513792
rb128-dual,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",20.607912,20.298408,0.30950400000000045,0.16444943898809525,0.0,10551296,0
rb256-single,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",20.662824,20.662824,0.0,0.0,0.32253767431640623,0,10458368
rb256-single,0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",53.046864,40.710072,12.336792000000003,0.3166275744047619,0.3357441826171875,10884608,10010496
rb256-single,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",107.276208,107.276208,0.0,0.31810788411458335,0.33492508264160153,12205312,43079936
rb256-single,48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",80.132832,49.301928,30.830903999999997,0.31176518750000004,0.39070552294921873,8080128,10465408
rb256-single,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",23.288616,23.288616,0.0,0.3234077877604167,0.0,11812096,0
rb256-single,61a354e5410c6bc400a1b8d3592198586eb22ba9a4a79bb194fb02114ba4fe0f,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",108.169776,98.535528,9.634248,0.4434129375,0.0,8413440,0
rb256-single,6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",64.851696,64.851696,0.0,0.31772892057291663,0.3357748894042969,12372736,20993536
rb256-single,721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",34.682856,24.661104,10.021752,0.3890097366071429,0.0,13439872,0
rb256-single,7481f917e97e1db6760f8506ae31d31cbe4c6a1a0469acad5569d337ef33c8ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",64.244856,61.883016,2.361840000000001,0.3161831369047619,0.35412307543945315,14130560,19543552
rb256-single,987be3fda115241bbe194b830e0005589b32a70b6852bfd1ae7b3abd93502d71,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",104.871624,95.2926,9.579024000000004,0.303366375,0.37212773583984377,16897408,39500288
rb256-single,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",58.918704,49.28508,9.633623999999998,0.4434129375,0.0,8413440,0
rb256-single,a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",106.407288,104.280384,2.126903999999996,0.31340676636904763,0.3438930402832031,21947264,33706880
rb256-single,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",41.860104,41.860104,0.0,0.0,0.3283321926269531,0,21390848
rb256-single,c2804e40610e68d4510163daa20ec4d6ef40aa53468413b1aed624dbbe747444,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",90.616032,53.350752,37.265280000000004,0.312702609375,0.3965289580078125,12152192,20803072
rb256-single,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",84.240936,84.240936,0.0,0.0,0.33113111389160155,0,43291904
rb256-single,cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",108.513912,103.918152,4.5957599999999985,0.3112609732142857,0.35304851403808596,19901184,37613184
rb256-single,cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",43.688112,43.688112,0.0,0.31920325260416665,0.335244609375,11839744,10590336
rb256-single,cdf700c1a76b5dbd55ae7847ef3095b4b4175691e5eb606f84bace92efe889c5,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",160.670952,98.559552,62.1114,0.30971409895833335,0.398841650390625,19069696,42578816
rb256-single,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",22.625616,20.298408,2.3272080000000024,0.36042616071428574,0.0,12114048,0
rb32-dual,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,"{""gpu_read_transactions"": 0, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",21.223176,20.662824,0.5603519999999982,0.0,0.042261603515625,0,10940672
rb32-dual,0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",85.840872,40.710072,45.13080000000001,0.08930905208333333,0.1076019521484375,19671936,24204160
rb32-dual,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 8388608, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",132.228408,107.276208,24.952200000000005,0.06966034765625001,0.051393682983398435,36697984,33884160
rb32-dual,48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 2097152, ""pim_gwrite_waves"": 4096, ""pim_mac_waves"": 1536, ""pim_read_waves"": 16}",49.33188,49.301928,0.029952000000001533,0.06770897656250001,0.06122183056640625,11148544,13099904
rb32-dual,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",23.863944,23.288616,0.575327999999999,0.0422231875,0.0,12302848,0
rb32-dual,61a354e5410c6bc400a1b8d3592198586eb22ba9a4a79bb194fb02114ba4fe0f,"{""gpu_read_transactions"": 1179648, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 8192, ""pim_mac_waves"": 3072, ""pim_read_waves"": 32}",98.536464,98.535528,0.0009359999999958291,0.041978692708333334,0.0,6111232,0
rb32-dual,6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3,"{""gpu_read_transactions"": 2359296, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 0, ""pim_mac_waves"": 0, ""pim_read_waves"": 0}",89.661624,64.851696,24.809928,0.06966027994791667,0.06035024340820312,27965824,20614912
rb32-dual,721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 0, ""pim_gwrite_waves"": 2048, ""pim_mac_waves"": 768, ""pim_read_waves"": 8}",24.661104,24.661104,0.0,0.04252452827380952,0.0,10831104,0
rb32-dual,7481f917e97e1db6760f8506ae31d31cbe4c6a1a0469acad5569d337ef33c8ce,"{""gpu_read_transactions"": 2064384, ""kv_read_transactions"": 4194304, ""pim_gwrite_waves"": 1024, ""pim_mac_waves"": 384, ""pim_read_waves"": 4}",83.632224,61.883016,21.749207999999996,0.06951229613095238,0.058148923828125,16746624,28502016
