variant,case,placement,batch_size,context_length,gpu_experts,pim_experts,expert_only_shape_key,kv_only_shape_key,combined_shape_key,expert_only_us,kv_only_us,combined_us,combined_minus_isolated_max_us,combined_over_isolated_max,expert_completion_delta_us,expert_completion_ratio,gpu_expert_completion_delta_us,gpu_expert_completion_ratio,pim_expert_completion_delta_us,pim_expert_completion_ratio,kv_completion_delta_us,kv_completion_ratio,gpu_accepted_to_column_issue_mean_us,kv_accepted_to_column_issue_mean_us,gpu_isolated_accepted_to_column_issue_mean_us,kv_isolated_accepted_to_column_issue_mean_us,gpu_rejected_attempts_per_request,kv_rejected_attempts_per_request
baseline-rb256-dual,b16_c8k,frozen-oracle,16,8192,7,1,721d1ffbcce835c31d643e3ffad679cfa42c3ac840b91dc3a8f84338dbc69245,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,cc5fa2d380d97dda182ca3a78f37d544a336823837d178ae929ee4c6cd5711c3,24.661104,84.240936,103.918152,19.677216,1.2335825898230761,47.356919999999995,2.920308190582222,51.690912,3.5429540605669905,0.003431999999996549,1.0001391665190658,19.677216,1.2335825898230761,0.314688775297619,0.3335631104736328,0.32232035565476186,0.33113111389160155,5.129092261904762,5.1360931396484375
baseline-rb256-dual,b16_c8k,fixed-half-prefix,16,8192,4,4,61a354e5410c6bc400a1b8d3592198586eb22ba9a4a79bb194fb02114ba4fe0f,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,cdf700c1a76b5dbd55ae7847ef3095b4b4175691e5eb606f84bace92efe889c5,98.535528,84.240936,98.559552,0.02402399999999716,1.0002438105370481,0.02402399999999716,1.0002438105370481,47.737247999999994,5.199714536671058,0.02402399999999716,1.0002438105370481,11.52216,1.1367762580415772,0.30814509375000004,0.33457678674316405,0.31279692708333334,0.33113111389160155,13.505533854166666,3.9879150390625
rb32-dual,b8_c4k,gpu-only,8,4096,8,0,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,cdcaff2fdb04a5fd6014e8c0bdd542bbe1943c614df1ba1d737f25dbeb4bf2a9,23.863944,21.223176,65.817648,41.953704,2.758037313530404,41.953704,2.758037313530404,41.953704,2.758037313530404,0.0,,43.285944,3.039560148773209,0.06677355208333333,0.07415398681640625,0.0422231875,0.042261603515625,9.748589409722221,6.1995849609375
rb32-dual,b8_c4k,frozen-oracle,8,4096,7,1,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,0fc462e51034129a5d92c1202114715804695f13840a57af0c1faec0550e2aea,20.965152,21.223176,85.840872,64.61769600000001,4.044676065448452,64.76339999999999,4.08909756533127,64.76339999999999,4.08909756533127,0.0012479999999985836,1.0001010688025873,64.61769600000001,4.044676065448452,0.08930905208333333,0.1076019521484375,0.042423004464285714,0.042261603515625,9.529203869047619,11.54144287109375
rb32-dual,b8_c4k,fixed-half-prefix,8,4096,4,4,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,086651f43deeb27c329b73ea5fdb2636c7cd239593e7acc1b658e39600fd7639,48b0cab302207be90ff4dae6f2bbb9fae82174adf9934ab09d10a3dc970f7903,49.286016,21.223176,49.33188,0.04586400000000168,1.0009305682163476,0.04586400000000168,1.0009305682163476,28.065648000000003,3.359696755069385,0.04586400000000168,1.0009305682163476,23.400000000000002,2.102568248974612,0.06770897656250001,0.06122183056640625,0.042007333333333334,0.042261603515625,9.450737847222221,6.24652099609375
rb32-dual,b8_c8k,gpu-only,8,8192,8,0,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,6ac70e80a43138efda6468880d2247d1b954ba6a0caf3846af8f69cdc438dbf3,23.863944,42.553992,89.661624,47.107632,2.107008526955591,56.476991999999996,3.3666243936878164,56.476991999999996,3.3666243936878164,0.0,,47.107632,2.107008526955591,0.06966027994791667,0.06035024340820312,0.0422231875,0.04241568017578125,11.853461371527779,4.91497802734375
rb32-dual,b8_c8k,frozen-oracle,8,8192,7,1,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,7481f917e97e1db6760f8506ae31d31cbe4c6a1a0469acad5569d337ef33c8ce,20.965152,42.553992,83.632224,41.07823199999999,1.9653202923946593,51.848472,3.4730787546877795,51.848472,3.4730787546877795,0.0012479999999985836,1.0001010688025873,41.07823199999999,1.9653202923946593,0.06951229613095238,0.058148923828125,0.042423004464285714,0.04241568017578125,8.112165178571429,6.79541015625
rb32-dual,b8_c8k,fixed-half-prefix,8,8192,4,4,a57657f8f60627c0b42bc8893efddef5de1d5c4d963625a8d6ddb8a4c5765bb1,a6fb6210aaef4eefd3cf865a407e648d37fa1dce41ab0a5618cb76989bc07b14,c2804e40610e68d4510163daa20ec4d6ef40aa53468413b1aed624dbbe747444,49.286016,42.553992,65.840112,16.55409600000001,1.335878152537223,1.2405120000000025,1.0251696546135927,38.632776,4.24815718370452,0.044616000000004874,1.0009052466322295,23.286120000000004,1.5472135258191524,0.06640731770833334,0.05216405200195313,0.042007333333333334,0.04241568017578125,11.095160590277779,5.284423828125
rb32-dual,b8_c16k,gpu-only,8,16384,8,0,52ccb710699d573f717b10f9f89d0a7e6287c632dfb3e3159a64e267549eee5f,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,1b902657bc662f98c6776b4b7fe03d29366b5b588b8ce1d2b751943a5efed8a8,23.863944,85.120776,132.228408,47.107631999999995,1.553421082533364,77.76100799999999,4.258514518807117,77.76100799999999,4.258514518807117,0.0,,47.107631999999995,1.553421082533364,0.06966034765625001,0.051393682983398435,0.0422231875,0.04242642041015625,15.554633246527779,4.039306640625
rb32-dual,b8_c16k,frozen-oracle,8,16384,7,1,f6613ee99fd29306ac38ed1dfcddb7a9f4a11b218a49024de13b5a74d1e87881,c3898dba0eadc0cc0f7933a1ff3a0c21b9bb856f4cdb0894aa3710cfa4930c34,a69e6d5251ebb1936b42ad0ed5eac084d5e705c93ce4529f6ca527bd16cca2ce,20.965152,85.120776,149.738472,64.617696,1.759129545529519,96.7122,5.612997797487946,96.7122,5.612997797487946,0.0012479999999985836,1.0001010688025873,64.617696,1.759129545529519,0.08930905208333333,0.05876150756835938,0.042423004464285714,0.04242642041015625,9.529203869047619,6.8228607177734375
