step,start_us,end_us,latency_us
0,0.0,15840.314877504,15840.314877504
1,15840.314877504,31681.849395136,15841.534517632
2,31681.849395136,47523.286362944,15841.436967808
3,47523.286362944,63365.960481537,15842.674118592
4,63365.960481537,79209.790730559,15843.830249023
5,79209.790730559,95053.594218365,15843.803487806
6,95053.594218365,110898.274709308,15844.680490943
7,110898.274709308,126744.499905722,15846.225196414
