policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,20452.381999105,2556.547749888,2593.834725888,3129.219863134,8.799479167,0.0,24576,0,True
noexp,40613.722927105,5076.715365888,5114.517554688,1575.822047018,8.799479167,0.0,24576,0,True
allexp,67332.613632,8416.576704,8418.9507456,950.505209107,0.0,8.799479167,0,24576,True
pimoe,39749.752452993,4968.719056624,4976.952239958,1610.072919968,8.057291667,0.7421875,24023,553,True
sieve,48293.722927105,6036.715365888,6074.517554688,1325.223986078,8.799479167,0.0,24576,0,True
sieve-cycle-v1,46211.371524161,5776.42144052,5778.837780528,1384.940500338,7.0,1.799479167,21415,3161,True
sieve-fixed-16-cycle-v1,48293.722927105,6036.715365888,6074.517554688,1325.223986078,8.799479167,0.0,24576,0,True
