step,start_us,end_us,latency_us
0,0.0,2516.408229888,2516.408229888
1,2516.408229888,5618.020171776,3101.611941888
2,5618.020171776,8658.388721664,3040.368549888
3,8658.388721664,11629.256343552,2970.867621888
4,11629.256343552,14621.45593344,2992.199589888
5,14621.45593344,17690.430947328,3068.975013888
6,17690.430947328,21142.889865216,3452.458917888
7,21142.889865216,24455.068975105,3312.179109888
