step,start_us,end_us,latency_us
0,0.0,3048.197323776,3048.197323776
1,3048.197323776,6081.934743552,3033.737419776
2,6081.934743552,9058.860131328,2976.925387776
3,9058.860131328,12086.960431104,3028.100299776
4,12086.960431104,15118.13273088,3031.172299776
5,15118.13273088,18149.641414656,3031.508683776
6,18149.641414656,21187.097490431,3037.456075776
7,21187.097490431,24135.273566207,2948.176075776
