policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,30497.653807105,3812.206725888,3845.696114688,2098.5220832,8.791666667,0.0,24576,0,True
noexp,121138.4265431,15142.303317887,15175.026002688,528.321209267,8.791666667,0.0,24576,0,True
allexp,147866.013311999,18483.251664,18485.935737601,432.82427494,0.0,8.791666667,0,24576,True
pimoe,120293.223962364,15036.652995295,15054.376572453,532.033292416,8.065104167,0.7265625,24067,509,True
sieve,128818.4265431,16102.303317888,16135.026002688,496.823332791,8.791666667,0.0,24576,0,True
sieve-cycle-v1,126744.499905722,15843.062488215,15845.684549499,504.952878015,7.0,1.791666667,21407,3169,True
sieve-fixed-16-cycle-v1,128818.4265431,16102.303317888,16135.026002688,496.823332791,8.791666667,0.0,24576,0,True
