step,start_us,end_us,latency_us
0,0.0,2618.952741888,2618.952741888
1,2618.952741888,5180.925259776,2561.972517888
2,5180.925259776,7785.138545664,2604.213285888
3,7785.138545664,10398.146199552,2613.007653888
4,10398.146199552,13023.38271744,2625.236517888
5,13023.38271744,15675.364835328,2651.982117888
6,15675.364835328,18243.929097216,2568.564261888
7,18243.929097216,20842.673455105,2598.744357888
