design_id,config_id,chunk_count,buffer_slots,policy,layer,layer_start_us,layer_end_us,layer_span_us,attention_latency_us,routing_control_latency_us,expert_latency_us,combine_latency_us,first_partial_ready_offset_us,last_partial_ready_offset_us,first_merge_start_offset_us,last_merge_end_offset_us,gpu_merge_us,cxl_pim_pipeline_us,interpolation
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,0,0.0,11945.18508366492,11945.18508366492,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088467,9309.874076088467,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,1,11945.18508366492,23890.370167329853,11945.185083664934,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088469,9309.87407608847,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,2,23890.370167329853,35835.55525099477,11945.185083664914,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088467,9309.874076088465,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,3,35835.55525099477,47780.740334659684,11945.185083664917,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.67439608847,9309.874076088468,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,4,47780.740334659684,59725.9254183246,11945.185083664917,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.67439608847,9309.874076088468,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,5,59725.9254183246,71671.11050198952,11945.185083664917,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.67439608847,9309.874076088476,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,6,71671.11050198952,83616.29558565441,11945.185083664896,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088449,9309.874076088454,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,7,83616.29558565441,95561.48066931931,11945.185083664896,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088449,9309.874076088454,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,8,95561.48066931931,107506.6657529842,11945.185083664896,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088449,9309.874076088454,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,9,107506.6657529842,119451.8508366491,11945.185083664896,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088449,9309.874076088454,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,10,119451.8508366491,131397.035920314,11945.185083664896,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088449,9309.874076088454,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,11,131397.035920314,143342.22100397895,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,12,143342.22100397895,155287.4060876439,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,13,155287.4060876439,167232.59117130886,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,14,167232.59117130886,179177.7762549738,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,15,179177.7762549738,191122.96133863876,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,16,191122.96133863876,203068.14642230372,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,17,203068.14642230372,215013.33150596867,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,18,215013.33150596867,226958.51658963363,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,19,226958.51658963363,238903.70167329858,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
c2_mac49152_p4,chunks1_slots1,1,1,gpu-only-expert-placement,20,238903.70167329858,250848.88675696353,11945.185083664954,9311.975324088467,3.070016,26.557051456,1.036864,9130.145856,9130.145856,9308.674396088492,9309.874076088483,1.19968,9130.145856,0
