step,start_us,end_us,latency_us
0,0.0,14497.697829888,14497.697829888
1,14497.697829888,28957.842379776,14460.144549888
2,28957.842379776,43471.672433664,14513.830053888
3,43471.672433664,58001.383575552,14529.711141888
4,58001.383575552,72466.66950144,14465.285925888
5,72466.66950144,86943.638243327,14476.968741887
6,86943.638243327,101454.718857214,14511.080613887
7,101454.718857214,115930.772143101,14476.053285887
