attention_critical_path_us,baseline_total_latency_us,case,delta_vs_baseline_us,events_sha256,kv_read_bytes,kv_read_critical_path_us,memory_peak_bytes,mode,policy,run_manifest_sha256,summary_sha256,throughput_request_tokens_per_s,total_latency_us
45933.506304,77614.655575935,b8_c8k,0.0,ffa8a4f9c96c337ad4920ae8234892f13fd0a36dd3337dd3ce9c7100b0ac9961,51561627648,6445.203456,67512897536,serial-local-hbm-v1,sieve-fixed-16-cycle-v1,2809b538c08ba5a3e96619a6a4984639404ad1370da0663b9989b93bbab18930,daa9fcd48981a3874b7e478dd3f5aea2ea0e03b06a90b6bc807c5bfc354a3814,824.586536204,77614.655575935
390.291456,30497.653807106,b8_c16k,-9.968061931431293e-10,172070f2738969135a1f31b75ac433ba8112efdf92e131a0a2fdf5ef5e6c85b1,103101235200,12887.6544,73955348480,serial-local-hbm-v1,gpu-only,312b99e3e6097e403aba88e277e364a82df9fb2ffb74cdbdc8793d2066c34cb9,13ca15ed36b8f8e8999679954b7b0c7e1a7677beff91113c02238fc2a74281f6,2098.5220832,30497.653807105
91031.064192001,121138.4265431,b8_c16k,0.0,6e5fea52f1664d936e5d74a5fe0b0c217fb2d45ecf6e693b6f4777a93707f223,103101235200,12887.6544,73955348480,serial-local-hbm-v1,noexp,e42562527084290a5015d0ad5fb02d093b82fd8db69e263fbd0eb2b961337728,c53498b3309992a2210c2b45bbb16c7d553dcac3e046d848a5850876d69888e3,528.321209267,121138.4265431
91031.064192001,147866.013311999,b8_c16k,0.0,014fe846ad4ba117f2f7c06bd1ba8ccb00c204564f32ad063a2544ae86d485dc,103101235200,12887.6544,73955348480,serial-local-hbm-v1,allexp,dcfb149ad0f4d5a18e95fab502861a9e36dcb4085be4f35f6f5ccf620ad68900,cb8b6cf338f0c3c9fb58ad2706d0ddc9841201b5cea885540f93956f511bedb6,432.82427494,147866.013311999
91031.064192001,120293.223962363,b8_c16k,1.0040821507573128e-09,96c422d76cf4bcb2ec4c91f1f2f4e5ea954dbd5e8a6a74e8d3e17d1115de8d27,103101235200,12887.6544,73955348480,serial-local-hbm-v1,pimoe,499e03852d87f2defec9ed9e6a21791a0d98ea3efd192f52045c359a0c9bbcc3,fcd1ebc934772c02dce9c2c2e05b7c4958243750d98817e1e606e2468941691a,532.033292416,120293.223962364
91031.064192001,128818.4265431,b8_c16k,0.0,ed5a82a14ae050906ef088e943c028edbd11dc9c78083acb543514677382ea5c,103101235200,12887.6544,73955348480,serial-local-hbm-v1,sieve,728b6eb520743c19db621aaa107a8fdecea81aaee469dcd41b1e140909045910,b76a6ccf02da43333e83e31548ee4da12ba3458d6fe9b08249441b270483aba4,496.823332791,128818.4265431
91031.064192001,126744.499905722,b8_c16k,0.0,cfbbd76cf9f2f6d11652669aad837c850b571e629c29e30e238a8ccd5bc93064,103101235200,12887.6544,73955348480,serial-local-hbm-v1,sieve-cycle-v1,d2d9d3cd1b7bb2f0827918476198423e1cde2cea56e5ea97f32e9f1a4e8ffa31,94c69233cbadee0601c1dff0094c2da2df8ebc5271eed5928dee1b3fe1b0b158,504.952878015,126744.499905722
91031.064192001,128818.4265431,b8_c16k,0.0,b0bcca9738071e883b059497d6a3ca9fddd707c099c46fac53358e77f72a8310,103101235200,12887.6544,73955348480,serial-local-hbm-v1,sieve-fixed-16-cycle-v1,0124b8336b645381f1f824c93c7be9fcc0b4a583457ead081edb3e3d3d6fc3c5,6b3089e41e115daee37169fabf105e94cc5d1ce1ad563b2a833230103c9bfa9a,496.823332791,128818.4265431
396.582912,24531.856478207,b16_c4k,0.0,e49a1fa758b2a6addaa3aa40207fff9acb3c0938668d738abb2a247016696f6f,51583647744,6447.955968,67519123456,serial-local-hbm-v1,gpu-only,dd782ad72a127f4323fff0740d846c8b991086c47103f57cf0cceffb84daae17,62c714a7942979d027595a6fee6253543a6a240a84f2aadee3f4056aa13be596,5217.705399251,24531.856478207
46761.622272,70896.895838212,b16_c4k,-1.0040821507573128e-09,010b43239a7eb7d422704bd58ea92c3f591513e5df33a78e04f863e3b0817fc8,51583647744,6447.955968,67519123456,serial-local-hbm-v1,noexp,7863b1762d4085e44a162028546849f08cc1856388ad78f173feea523f6351fd,a79c92e21e4d7e01718cd5c4c6b04d03ec30cbd3125636e342814824dc2a97b8,1805.438707671,70896.895838211
46761.622272,135044.260608,b16_c4k,0.0,76449288c764d8e3104219885bb6ac13ef0f135a8221f8596444e5e88fb58b7e,51583647744,6447.955968,67519123456,serial-local-hbm-v1,allexp,4f36f0bd7f2337e10476daad206080bc18a04ddcacf5d6cbb98bb77c48439ba9,954307a82d41b22467b11a6952f0190ac48a35ae01d2c003f2dcb297c8655db9,947.837393635,135044.260608
46761.622272,70223.826979523,b16_c4k,0.0,f032596320ae9dabcf871c91b4b76a35d443498c24b888b76327f9e842e658b7,51583647744,6447.955968,67519123456,serial-local-hbm-v1,pimoe,571ea66b2e8efd521d78e5f75432d7931fa859df7740903b19ca769cc25f06aa,6fc89cf139f92ac214d217e3c75cc6fbbf98afd03ed46b4a5bce0b0f7cd0f133,1822.743155786,70223.826979523
46761.622272,78576.895838211,b16_c4k,0.0,006e3beaa8c0475a987178c9a270328cb0d5e6b96d8d639e1e08a988a6693743,51583647744,6447.955968,67519123456,serial-local-hbm-v1,sieve,a80f91beacdc1e5c9b8bd6c385706646ad09bbe7e91937b0d6ace14e3c25c426,e816ca69ed7deafb94d14a592005cf3747b18e76aea7cd00f2d187f8fc8947c5,1628.977559301,78576.895838211
46761.622272,76697.747762179,b16_c4k,0.0,5e80fd8cb88627d3ecb72c374678739bfdee1f73f6720bc200c479988a919652,51583647744,6447.955968,67519123456,serial-local-hbm-v1,sieve-cycle-v1,3531c7fe916b779763c9e5d9df329d5b95da3216fa8c9c233ecaa5c226147f5c,00c7903f7132a75ed812b0bba9f60ed9019f61c6247e37d06c8bd60073f4851d,1668.888640601,76697.747762179
46761.622272,78576.895838211,b16_c4k,0.0,cff592cd93bd34e302c47ffcf3d78683225433c125732ae340402c81868ec1b7,51583647744,6447.955968,67519123456,serial-local-hbm-v1,sieve-fixed-16-cycle-v1,023dfb0a15f73601bc96ce53cfc16ef23e4dfd4f0f11e9f45a5a3b4e7d8f487a,96fe3e0bf7664f7027968c40116df2f2734bfeacebfe5a708964eefab15818a3,1628.977559301,78576.895838211
396.582912,31176.892766207,b16_c8k,1.000444171950221e-09,ce4700cced83d9479c13d8bb92b2263a3c26eff32eb27f206f3a4b187cb809d3,103123255296,12890.406912,73961574400,serial-local-hbm-v1,gpu-only,b9c23377c4a4551458dc7b9d5448b3ed6a76c919fb919a9c5229144133557106,6305a39b249a4c173f71d167db97b3c33f10d45bc6d6617313584a8025c2760b,4105.604781075,31176.892766208
91857.997056001,122638.306910209,b16_c8k,1.0040821507573128e-09,f3fae00012ce86d142f04d3965ddaa244f7e06d00ca6a0d4576af0bad9d54e42,103123255296,12890.406912,73961574400,serial-local-hbm-v1,noexp,45b63e19cd420f275d2421b3220a78c75f6e987f1e655098b2e8032445f78a65,b9809a1eeb8fb7b64fc53f5b1fac7641a226b73cdd8122c4bc4331e5dae757c2,1043.719562222,122638.30691021
91857.997056001,186583.086335994,b16_c8k,0.0,96bbf14d74e5d80e82b27a32f979fc254f74487a35ddc4226c17a17f24627202,103123255296,12890.406912,73961574400,serial-local-hbm-v1,allexp,0c4e08611383ef3af12c07122ebb9ffeac9d98a16e42b4cc9c07c8647834a42f,351ccfe2c28e56a3b4a343df677c2f7b89d91a33bf4702de82399fd884178831,686.021453035,186583.086335994
91857.997056001,121755.307259906,b16_c8k,0.0,ae3957fae524394ea5e6ef23890f63931c84741581450f846d641d581c0f2ea2,103123255296,12890.406912,73961574400,serial-local-hbm-v1,pimoe,180fd60dd0644c92aba22f52b5fbef0282be0651046344b77a0e87dddb5469a8,e7e0e260e081cf71879d6567c63ae406f0500c8ac6a9a1a5029156430c4ca376,1051.288875045,121755.307259906
91857.997056001,130318.306910209,b16_c8k,1.0040821507573128e-09,c01d3c6be73bd0af59ef5c6da0332e47918cd148f0218d282189f9fd04afc7e2,103123255296,12890.406912,73961574400,serial-local-hbm-v1,sieve,2a4285a3a40e38aeaecaaff8fb12f1a7299386c1948a1059358a171bfe68dee6,56900a0c6b82681fc06974c920130da704ff51765cf64d8fafc96e35b465f6a8,982.21042795,130318.30691021
91857.997056001,128294.470507651,b16_c8k,1.0040821507573128e-09,e20693df58bf8ecb886480674c68d29317499858f0c0afec17b9c314c7f04b93,103123255296,12890.406912,73961574400,serial-local-hbm-v1,sieve-cycle-v1,9b4a26019216f05b65e30969f5d4de667b5d8f61e0eba6ee425905b6bc9635a4,c81276918273e9f299d11c765a540de3cac2e0e710957df31b92d1a46d78c830,997.704729545,128294.470507652
