step,start_us,end_us,latency_us
0,0.0,5378.693521216,5378.693521216
1,5378.693521216,10758.888273728,5380.194752512
2,10758.888273728,16129.742170944,5370.853897216
3,16129.742170944,21495.786417728,5366.044246784
4,21495.786417728,26868.748434689,5372.96201696
5,26868.748434689,32232.533705089,5363.7852704
6,32232.533705089,37601.162688385,5368.628983296
7,37601.162688385,42973.730436993,5372.567748608
