gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
16,0;3;7;8;21;24;26;28;39;49;59;61;63;69;82;89,49,15,46.843368,3.205520896,50.048888896,23.140104,20.0,70.048888896,0,35,True
16,2;8;9;15;24;52;56;65;73;79;97;99;107;114;116;118,53,11,47.006544,3.222298112,50.228842112,16.983096,20.0,70.228842112,0,36,True
16,6;16;20;21;23;26;42;61;66;77;78;82;98;104;113;118,58,6,47.070504,3.243269632,50.313773632,9.268896,20.0,70.313773632,0,37,True
16,0;8;16;48;52;55;69;75;79;80;88;90;95;96;105;107,49,15,46.843368,3.205520896,50.048888896,23.140104,20.0,70.048888896,0,38,True
16,0;10;13;18;37;56;59;61;69;70;72;76;87;90;103;120,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,0,39,True
16,7;11;12;17;18;45;50;51;55;65;73;84;87;111;115;119,47,17,46.914504,3.197132288,50.111636288,26.218296,20.0,70.111636288,0,40,True
16,2;17;18;20;35;46;48;52;58;66;69;83;85;102;103;112,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,0,41,True
16,7;18;21;27;32;36;37;59;60;64;74;76;93;101;102;114,46,18,46.93884,3.192937984,50.131777984,27.739296,20.0,70.131777984,0,42,True
16,6;12;19;20;27;29;30;45;49;52;77;78;87;94;96;112,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,0,43,True
16,0;1;3;7;20;30;48;53;73;88;92;94;98;99;113;121,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,0,44,True
16,1;7;17;22;46;58;63;70;80;84;85;89;94;103;107;111,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,0,45,True
16,8;29;30;31;38;39;60;68;75;81;83;84;103;105;114;115,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,0,46,True
16,6;9;35;36;47;52;66;71;73;79;88;95;108;111;120;123,52,12,47.0184,3.218103808,50.236503808,18.504408,20.0,70.236503808,0,47,True
16,16;18;26;28;36;44;53;59;65;73;86;93;104;105;107;114,36,28,47.091096,3.150994944,50.242090944,43.13088,20.0,70.242090944,1,0,True
16,3;16;23;29;34;45;48;50;58;71;76;88;94;95;113;119,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,1,1,True
16,7;10;14;15;23;40;44;47;50;53;54;59;76;84;100;126,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,2,True
16,2;4;16;29;40;53;64;70;82;84;87;92;109;112;117;124,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,1,3,True
16,5;9;11;18;21;23;27;37;50;52;56;81;83;93;104;106,45,19,46.930104,3.18874368,50.11884768,29.296488,20.0,70.11884768,1,4,True
16,10;12;13;17;47;56;68;70;74;80;82;85;87;95;107;117,48,16,46.978152,3.201326592,50.179478592,24.661728,20.0,70.179478592,1,5,True
16,4;7;8;25;30;32;34;44;51;56;64;71;79;80;86;93,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,1,6,True
16,0;3;5;6;9;16;18;21;28;53;78;87;91;103;109;117,36,28,47.091096,3.150994944,50.242090944,43.13088,20.0,70.242090944,1,7,True
16,2;3;4;8;14;20;29;36;38;42;43;46;59;109;116;127,37,27,47.01216,3.155189248,50.167349248,41.609256,20.0,70.167349248,1,8,True
16,0;9;10;19;21;25;35;40;65;87;94;104;113;114;117;118,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,9,True
16,5;30;32;37;45;51;53;62;70;74;76;88;95;98;104;108,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,10,True
16,7;8;16;21;23;28;29;43;51;64;67;69;82;87;89;101,44,20,46.944456,3.184549376,50.129005376,30.817488,20.0,70.129005376,1,11,True
16,0;2;9;14;17;26;52;56;65;74;76;79;97;103;114;116,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,12,True
16,16;18;36;40;41;42;57;75;77;82;89;98;101;104;109;115,43,21,46.947888,3.180355072,50.128243072,32.37468,20.0,70.128243072,1,13,True
16,5;8;20;40;55;60;69;79;80;88;90;91;95;96;99;107,37,27,47.01216,3.155189248,50.167349248,41.609256,20.0,70.167349248,1,14,True
16,10;16;18;20;31;56;59;66;70;72;76;77;82;86;90;123,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,15,True
16,6;7;13;16;18;19;40;50;67;73;77;84;103;110;114;115,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,1,16,True
16,0;14;16;18;20;46;52;55;62;64;79;83;84;92;116;120,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,1,17,True
16,8;12;21;25;30;32;34;44;51;52;68;71;72;80;86;93,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,1,18,True
16,3;9;10;16;18;20;28;31;34;53;59;87;91;109;110;117,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,19,True
16,3;4;6;8;14;32;36;38;43;46;72;82;94;101;116;122,39,25,47.047728,3.163577856,50.211305856,38.532312,20.0,70.211305856,1,20,True
16,1;10;12;25;35;40;49;59;62;69;87;94;96;104;113;114,40,24,46.981272,3.16777216,50.14904416,36.973872,20.0,70.14904416,1,21,True
16,0;3;5;10;23;30;32;43;45;53;58;69;70;74;98;109,41,23,47.003424,3.171966464,50.175390464,35.452872,20.0,70.175390464,1,22,True
16,0;4;7;8;21;22;29;37;42;51;64;82;87;89;96;114,42,22,46.94664,3.176160768,50.122800768,33.895368,20.0,70.122800768,1,23,True
