step,start_us,end_us,latency_us
0,0.0,13582.413734528,13582.413734528
1,13582.413734528,27153.61233984,13571.198605312
2,27153.61233984,40772.55143232,13618.939092481
3,40772.55143232,54332.174390977,13559.622958657
4,54332.174390977,67922.630913986,13590.456523009
5,67922.630913986,81650.089050626,13727.45813664
6,81650.089050626,95231.881649282,13581.792598656
7,95231.881649282,108864.900347906,13633.018698624
