step,start_us,end_us,latency_us
0,0.0,8592.86613472,8592.86613472
1,8592.86613472,17185.660868224,8592.794733504
2,17185.660868224,25779.62450016,8593.963631936
3,25779.62450016,34374.666206401,8595.04170624
4,34374.666206401,43027.788708417,8653.122502016
5,43027.788708417,51623.852375745,8596.063667328
6,51623.852375745,60220.844814209,8596.992438464
7,60220.844814209,68817.795903104,8596.951088895
