policy,cycle_v0_total_latency_us,cycle_v1_total_latency_us,latency_delta_us,latency_delta_pct,cycle_v0_throughput_request_tokens_per_s,cycle_v1_throughput_request_tokens_per_s,throughput_delta_pct
gpu-only,7689.334603776,16109.493835776,8420.159232,109.504393629,2080.804233977,993.203148597,-52.268304131
noexp,9206.401483776,17626.560715776,8420.159232,91.459830932,1737.921165854,907.721038607,-47.769723021
allexp,11401.164672,12802.88832,1401.723648,12.294565409,1403.365398212,1249.718001133,-10.948495472
pimoe,9764.797056,10883.953536,1119.15648,11.461134047,1638.538917731,1470.054052241,-10.282628241
sieve,9194.370843648,14646.008091648,5451.637248,59.293206036,1740.195199006,1092.447846531,-37.222683573
