policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,16109.493835776,8054.746917888,8054.791154688,993.203148597,49.0,0.0,6144,0,True
noexp,17626.560715776,8813.280357888,8813.812754688,907.721038607,49.0,0.0,6144,0,True
allexp,12802.88832,6401.44416,6401.9765568,1249.718001133,0.0,49.0,0,6144,True
pimoe,10883.953536,5441.976768,5442.5091648,1470.054052241,2.0,47.0,1248,4896,True
sieve,14646.008091648,7323.004045824,7323.536442624,1092.447846531,32.0,17.0,4512,1632,True
sieve-cycle-v1,10144.665216,5072.332608,5072.8650048,1577.183638822,16.0,33.0,2976,3168,True
