policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,24455.068975105,3056.883621888,3403.360985088,2617.044346313,36.830729167,0.0,24576,0,True
noexp,24994.901167105,3124.362645888,3472.920434688,2560.522226998,36.830729167,0.0,24576,0,True
allexp,39286.449024001,4910.806128,4913.16672,1629.060441703,0.0,36.830729167,0,24576,True
pimoe,31240.781784001,3905.097723,4408.673016,2048.604303263,3.315104167,33.515625,6136,18440,True
sieve,24680.212761601,3085.0265952,3258.489677005,2593.170513488,19.244791667,17.5859375,17775,6801,True
