policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,24442.562095105,3055.320261888,3347.981657088,2618.383447324,9.130208333,0.0,24576,0,True
noexp,69985.776943104,8748.222117888,9041.592223488,914.471522579,9.130208333,0.0,24576,0,True
allexp,96326.004479998,12040.75056,12043.105535999,664.410408648,0.0,9.130208333,0,24576,True
pimoe,68835.0605712,8604.3825714,8652.583335962,929.758751847,8.091145833,1.0390625,23855,721,True
sieve,77665.776943103,9708.222117888,10001.592223488,824.043774736,9.130208333,0.0,24576,0,True
sieve-cycle-v1,75262.999359103,9407.874919888,9439.265310623,850.351441545,7.0390625,2.091145833,21232,3344,True
sieve-fixed-16-cycle-v1,77614.655575935,9701.831946992,9968.363334829,824.586536204,9.0859375,0.044270833,24559,17,True
