step,start_us,end_us,latency_us
0,0.0,9848.925259776,9848.925259776
1,9848.925259776,19684.377111552,9835.451851776
2,19684.377111552,29464.003427328,9779.626315776
3,29464.003427328,39296.959279104,9832.955851777
4,39296.959279104,49133.973626881,9837.014347777
5,49133.973626881,58972.310854658,9838.337227777
6,58972.310854658,68818.750098435,9846.439243777
7,68818.750098435,78576.895838211,9758.145739776
