layer,previous_step,current_step,step_delta,active_expert_jaccard,hot_expert_jaccard,load_churn,mean_request_route_jaccard,changed_request_fraction,same_load_signature
0,0,1,1,0.0,0.0,1.0,0.0,1.0,True
0,1,2,1,0.0,0.0,1.0,0.0,1.0,True
0,2,3,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
0,3,4,1,0.0,0.0,1.0,0.0,1.0,True
0,4,5,1,0.066666667,0.066666667,0.875,0.066666667,1.0,True
0,5,6,1,0.066666667,0.066666667,0.875,0.066666667,1.0,True
0,6,7,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
1,0,1,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
1,1,2,1,0.066666667,0.066666667,0.875,0.066666667,1.0,True
1,2,3,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
1,3,4,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
1,4,5,1,0.0625,0.066666667,0.875,0.066666667,1.0,False
1,5,6,1,0.545454545,0.454545455,0.375,0.454545455,1.0,False
1,6,7,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
2,0,1,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
2,1,2,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
2,2,3,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
2,3,4,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
2,4,5,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
2,5,6,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
2,6,7,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
3,0,1,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
3,1,2,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
3,2,3,1,0.142857143,0.142857143,0.75,0.142857143,1.0,True
3,3,4,1,0.066666667,0.066666667,0.875,0.066666667,1.0,True
3,4,5,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
3,5,6,1,0.6,0.6,0.25,0.6,1.0,True
3,6,7,1,0.214285714,0.230769231,0.640625,0.21978022,1.0,False
4,0,1,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
4,1,2,1,0.6,0.6,0.25,0.6,1.0,True
4,2,3,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
4,3,4,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
4,4,5,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
4,5,6,1,0.214285714,0.142857143,0.703125,0.175824176,1.0,False
4,6,7,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
5,0,1,1,0.416666667,0.333333333,0.4921875,0.340909091,1.0,False
5,1,2,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
5,2,3,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
5,3,4,1,0.416666667,0.454545455,0.40625,0.424242424,1.0,False
5,4,5,1,0.416666667,0.454545455,0.3984375,0.431818182,1.0,False
5,5,6,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
5,6,7,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
6,0,1,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
6,1,2,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
6,2,3,1,0.545454545,0.6,0.25,0.6,1.0,False
6,3,4,1,0.545454545,0.6,0.25,0.6,1.0,False
6,4,5,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
6,5,6,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
6,6,7,1,0.636363636,0.6,0.234375,0.622222222,1.0,False
7,0,1,1,0.5,0.6,0.3125,0.527272727,1.0,False
7,1,2,1,0.6,0.6,0.25,0.6,1.0,True
7,2,3,1,0.6,0.6,0.25,0.6,1.0,True
7,3,4,1,0.7,0.777777778,0.125,0.777777778,1.0,False
7,4,5,1,0.583333333,0.454545455,0.3671875,0.468181818,1.0,False
7,5,6,1,0.285714286,0.230769231,0.6171875,0.237179487,1.0,False
7,6,7,1,0.7,0.6,0.25,0.6,1.0,False
8,0,1,1,0.266666667,0.230769231,0.640625,0.21978022,1.0,False
8,1,2,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
8,2,3,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
8,3,4,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
8,4,5,1,0.428571429,0.454545455,0.4296875,0.405361305,1.0,False
8,5,6,1,0.176470588,0.230769231,0.6796875,0.192307692,1.0,False
8,6,7,1,0.357142857,0.333333333,0.4453125,0.386363636,1.0,False
9,0,1,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
9,1,2,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
9,2,3,1,0.545454545,0.6,0.25,0.6,1.0,False
9,3,4,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
9,4,5,1,0.545454545,0.454545455,0.3046875,0.536363636,1.0,False
9,5,6,1,0.416666667,0.333333333,0.4453125,0.386363636,1.0,False
9,6,7,1,0.357142857,0.454545455,0.4375,0.393939394,1.0,False
10,0,1,1,0.133333333,0.142857143,0.75,0.142857143,1.0,False
10,1,2,1,0.384615385,0.333333333,0.46875,0.363636364,1.0,False
10,2,3,1,0.7,0.6,0.1953125,0.677777778,1.0,False
10,3,4,1,0.545454545,0.6,0.2578125,0.590909091,1.0,False
10,4,5,1,0.357142857,0.454545455,0.4609375,0.368298368,1.0,False
10,5,6,1,0.428571429,0.454545455,0.4453125,0.392540793,1.0,False
10,6,7,1,0.636363636,0.777777778,0.15625,0.733333333,1.0,False
11,0,1,1,0.384615385,0.333333333,0.5078125,0.320512821,1.0,False
11,1,2,1,0.307692308,0.230769231,0.6171875,0.237179487,1.0,False
11,2,3,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
11,3,4,1,0.307692308,0.333333333,0.53125,0.307692308,1.0,False
11,4,5,1,0.416666667,0.333333333,0.46875,0.363636364,1.0,False
11,5,6,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
11,6,7,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
12,0,1,1,0.230769231,0.230769231,0.625,0.230769231,1.0,True
12,1,2,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
12,2,3,1,0.214285714,0.230769231,0.625,0.230769231,1.0,False
12,3,4,1,0.333333333,0.333333333,0.5390625,0.301282051,1.0,False
12,4,5,1,0.333333333,0.333333333,0.5625,0.283882784,1.0,False
12,5,6,1,0.384615385,0.333333333,0.53125,0.307692308,1.0,False
12,6,7,1,0.384615385,0.333333333,0.5078125,0.320512821,1.0,False
13,0,1,1,0.285714286,0.333333333,0.546875,0.294871795,1.0,False
13,1,2,1,0.461538462,0.454545455,0.4140625,0.409090909,1.0,False
13,2,3,1,0.285714286,0.333333333,0.5,0.333333333,1.0,False
13,3,4,1,0.133333333,0.142857143,0.75,0.142857143,1.0,False
13,4,5,1,0.25,0.333333333,0.546875,0.294871795,1.0,False
13,5,6,1,0.461538462,0.6,0.265625,0.581818182,1.0,False
13,6,7,1,0.538461538,0.454545455,0.4375,0.395104895,1.0,False
14,0,1,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
14,1,2,1,0.5,0.454545455,0.3515625,0.481818182,1.0,False
14,2,3,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
14,3,4,1,0.285714286,0.230769231,0.6171875,0.237179487,1.0,False
14,4,5,1,0.583333333,0.777777778,0.1484375,0.744444444,1.0,False
14,5,6,1,0.384615385,0.230769231,0.5390625,0.275641026,1.0,False
14,6,7,1,0.5,0.333333333,0.40625,0.393939394,1.0,False
15,0,1,1,0.333333333,0.333333333,0.5,0.333333333,1.0,True
15,1,2,1,0.545454545,0.6,0.3046875,0.536363636,1.0,False
15,2,3,1,0.5,0.454545455,0.375,0.446969697,1.0,False
15,3,4,1,0.545454545,0.6,0.2578125,0.590909091,1.0,False
15,4,5,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
15,5,6,1,0.357142857,0.333333333,0.4921875,0.343240093,1.0,False
15,6,7,1,0.266666667,0.333333333,0.5,0.333333333,1.0,False
16,0,1,1,0.5,0.454545455,0.3359375,0.5,1.0,False
16,1,2,1,0.357142857,0.333333333,0.4609375,0.371212121,1.0,False
16,2,3,1,0.416666667,0.454545455,0.375,0.454545455,1.0,False
16,3,4,1,0.454545455,0.454545455,0.375,0.454545455,1.0,True
16,4,5,1,0.545454545,0.6,0.2578125,0.590909091,1.0,False
16,5,6,1,0.307692308,0.333333333,0.5,0.333333333,1.0,False
16,6,7,1,0.6,0.6,0.25,0.6,1.0,True
17,0,1,1,0.416666667,0.454545455,0.3984375,0.431818182,1.0,False
17,1,2,1,0.9,0.777777778,0.109375,0.780555556,0.9375,False
17,2,3,1,0.583333333,0.454545455,0.34375,0.492424242,1.0,False
17,3,4,1,0.428571429,0.6,0.2578125,0.590909091,1.0,False
17,4,5,1,0.4,0.333333333,0.453125,0.378787879,1.0,False
