step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,0,43,16,0.125,3.28504549,1
0,0,45,16,0.125,1.527688153,2
0,0,65,16,0.125,4.742517024,3
0,0,73,16,0.125,1.369410872,4
0,0,85,16,0.125,0.768170383,5
0,0,98,16,0.125,1.731097311,6
0,0,100,16,0.125,1.758358203,7
0,0,114,16,0.125,0.817712564,8
0,1,18,16,0.125,3.177331507,1
0,1,26,16,0.125,1.553045116,2
0,1,38,16,0.125,2.776716277,3
0,1,42,16,0.125,1.25033801,4
0,1,43,16,0.125,1.397587635,5
0,1,49,16,0.125,1.261395939,6
0,1,51,16,0.125,1.230953336,7
0,1,94,16,0.125,3.35263218,8
0,2,38,16,0.125,2.851278439,1
0,2,40,16,0.125,1.381496541,2
0,2,57,16,0.125,1.978901185,3
0,2,82,16,0.125,3.278599069,4
0,2,88,16,0.125,1.648585699,5
0,2,95,16,0.125,1.490841448,6
0,2,113,16,0.125,1.385602005,7
0,2,123,16,0.125,1.984695613,8
0,3,51,16,0.125,1.968881436,1
0,3,56,16,0.125,2.257330805,2
0,3,67,16,0.125,1.884227172,3
0,3,71,16,0.125,1.752871916,4
0,3,80,16,0.125,1.974660367,5
0,3,87,16,0.125,1.953562878,6
0,3,101,16,0.125,2.033370182,7
0,3,117,16,0.125,2.175095245,8
0,4,12,16,0.125,2.152087301,1
0,4,61,16,0.125,1.90109054,2
0,4,64,16,0.125,1.853413127,3
0,4,65,16,0.125,2.218240127,4
0,4,108,16,0.125,2.154187009,5
0,4,110,16,0.125,1.819343299,6
0,4,121,16,0.125,2.160514727,7
0,4,95,14,0.109375,1.524790458,8
0,4,53,2,0.015625,0.216333412,0
0,5,9,16,0.125,1.632652201,1
0,5,38,16,0.125,1.933106683,2
0,5,45,16,0.125,1.618369982,3
0,5,64,16,0.125,3.369724259,4
0,5,73,16,0.125,1.893921256,5
0,5,84,16,0.125,1.864501745,6
0,5,104,16,0.125,2.059833869,7
0,5,94,15,0.1171875,1.526257515,8
0,5,46,1,0.0078125,0.101632491,0
0,6,12,16,0.125,1.498682246,1
0,6,41,16,0.125,1.339481436,2
0,6,58,16,0.125,1.629973792,3
0,6,62,16,0.125,1.418919556,4
0,6,107,16,0.125,1.501661852,5
0,6,112,16,0.125,3.012939498,6
0,6,116,16,0.125,1.579859652,7
0,6,126,16,0.125,4.01848197,8
0,7,10,16,0.125,2.026665047,1
0,7,15,16,0.125,1.755679004,2
0,7,19,16,0.125,1.909481406,3
0,7,24,16,0.125,2.597227678,4
0,7,52,16,0.125,1.885348931,5
0,7,75,16,0.125,2.062614307,6
0,7,114,16,0.125,2.082810268,7
0,7,29,8,0.0625,0.836268604,8
0,7,82,7,0.0546875,0.738399714,0
0,7,125,1,0.0078125,0.105505042,0
0,8,9,16,0.125,3.117705643,1
0,8,17,16,0.125,1.670406528,2
