step,start_us,end_us,latency_us
0,0.0,3474.370778944,3474.370778944
1,3474.370778944,7365.875717696,3891.504938752
2,7365.875717696,11221.393449792,3855.517732096
3,11221.393449792,15000.182679808,3778.789230016
4,15000.182679808,18719.488870208,3719.3061904
5,18719.488870208,22508.99070816,3789.501837952
6,22508.99070816,26579.209883393,4070.219175232
7,26579.209883393,30551.115980865,3971.906097472
