step,layer,expert_id,token_count,target
0,11,21,6,gpu
0,11,23,3,gpu
0,11,24,1,pim
0,11,26,3,gpu
0,11,28,2,pim
0,11,30,1,pim
0,11,37,3,gpu
0,11,39,1,pim
0,11,49,3,gpu
0,11,58,1,pim
0,11,59,1,pim
0,11,61,4,gpu
0,11,63,1,pim
0,11,67,6,gpu
0,11,69,1,pim
0,11,82,5,gpu
0,11,89,5,gpu
0,11,96,1,pim
0,11,109,2,pim
0,11,125,2,pim
0,11,127,2,pim
0,12,2,1,pim
0,12,9,3,gpu
0,12,15,4,gpu
0,12,17,1,pim
0,12,24,5,gpu
0,12,49,1,pim
0,12,52,3,gpu
0,12,56,8,gpu
0,12,65,6,gpu
0,12,79,5,gpu
0,12,85,1,pim
0,12,95,1,pim
0,12,96,3,gpu
0,12,97,3,pim
0,12,99,2,pim
0,12,100,1,pim
0,12,102,1,pim
0,12,105,1,pim
0,12,107,3,pim
0,12,116,7,gpu
0,12,118,1,pim
0,12,119,2,pim
0,12,124,1,pim
0,13,0,2,pim
0,13,6,4,gpu
0,13,11,1,pim
0,13,12,1,pim
0,13,15,1,pim
0,13,16,1,pim
0,13,23,5,gpu
0,13,26,3,gpu
0,13,28,4,gpu
0,13,32,2,pim
0,13,42,5,gpu
0,13,58,3,gpu
0,13,64,2,pim
0,13,66,3,gpu
0,13,77,7,gpu
0,13,78,1,pim
0,13,82,3,pim
0,13,98,5,gpu
0,13,101,1,pim
0,13,103,1,pim
0,13,104,6,gpu
0,13,118,2,pim
0,13,124,1,pim
0,14,5,1,pim
0,14,6,1,pim
0,14,8,3,gpu
0,14,10,3,gpu
0,14,16,2,pim
0,14,17,5,gpu
0,14,27,1,pim
0,14,48,5,gpu
0,14,55,3,gpu
0,14,75,5,gpu
0,14,79,4,gpu
0,14,80,2,pim
0,14,81,2,pim
0,14,88,5,gpu
0,14,89,1,pim
0,14,90,6,gpu
0,14,93,2,pim
0,14,95,1,pim
0,14,96,1,pim
0,14,100,4,gpu
0,14,102,1,pim
0,14,105,2,pim
0,14,107,3,pim
0,14,108,1,pim
0,15,10,8,gpu
0,15,13,1,pim
0,15,16,6,gpu
0,15,18,3,gpu
0,15,22,1,pim
0,15,23,2,gpu
0,15,35,1,pim
0,15,49,2,gpu
0,15,56,1,pim
0,15,59,8,gpu
0,15,66,1,pim
0,15,69,1,pim
0,15,70,7,gpu
0,15,72,1,pim
0,15,76,1,pim
0,15,78,1,pim
0,15,82,1,pim
0,15,85,4,gpu
0,15,86,1,pim
0,15,87,1,pim
0,15,90,2,pim
0,15,91,2,pim
0,15,101,1,pim
0,15,103,2,pim
0,15,120,3,gpu
0,15,123,2,pim
0,16,7,2,gpu
0,16,8,2,pim
0,16,12,1,pim
0,16,15,1,pim
0,16,17,4,gpu
0,16,18,1,pim
0,16,19,1,pim
0,16,22,1,pim
