policy,total_latency_us,attention_target,gpu_experts,pim_experts,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,81.275859456,gpu,50,0,64,0,True
noexp,95.739539456,pim,50,0,64,0,True
allexp,118.751712,pim,0,50,0,64,True
pimoe,101.452976,pim,2,48,13,51,True
sieve,94.430377984,pim,32,18,46,18,True
