step,layer,batch_size,context_min,context_max,total_assignments,active_experts,inactive_experts,max_expert_load,mean_active_expert_load,cv_all_experts,cv_active_experts,gini_all_experts,hot_expert_count,hot_experts,hot_assignment_share,load_signature
0,32,8,8192,8192,64,10,118,8,6.4,3.708099244,0.390312375,0.936035156,8,"5,10,11,72,78,85,92,90",0.9375,"8,8,8,8,8,8,8,4,2,2"
0,33,8,8192,8192,64,9,119,8,7.111111111,3.708099244,0.192637938,0.936035156,8,"11,13,32,44,53,63,2,115",0.9375,"8,8,8,8,8,8,6,6,4"
0,34,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"1,22,29,42,54,75,84,92",1.0,"8,8,8,8,8,8,8,8"
0,35,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"28,31,32,36,62,76,109,120",1.0,"8,8,8,8,8,8,8,8"
0,36,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,18,20,24,54,57,62,125",1.0,"8,8,8,8,8,8,8,8"
0,37,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,13,27,53,82,91,110,119",1.0,"8,8,8,8,8,8,8,8"
0,38,8,8192,8192,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"2,16,91,97,105,109,110,5",0.984375,"8,8,8,8,8,8,8,7,1"
0,39,8,8192,8192,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"5,16,48,63,72,84,118,59",0.96875,"8,8,8,8,8,8,8,6,2"
0,40,8,8192,8192,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"12,48,91,98,115,119,122,34",0.96875,"8,8,8,8,8,8,8,6,2"
0,41,8,8192,8192,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"78,80,82,94,120,123,124,100",0.96875,"8,8,8,8,8,8,8,6,2"
0,42,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"14,27,30,43,60,63,76,109",1.0,"8,8,8,8,8,8,8,8"
0,43,8,8192,8192,64,10,118,8,6.4,3.716517187,0.396518048,0.936279297,8,"6,11,29,32,45,94,98,106",0.9375,"8,8,8,8,8,8,8,4,3,1"
0,44,8,8192,8192,64,10,118,8,6.4,3.733296131,0.408646776,0.936523438,8,"15,49,50,79,108,112,127,2",0.953125,"8,8,8,8,8,8,8,5,2,1"
0,45,8,8192,8192,64,9,119,8,7.111111111,3.716517187,0.203725075,0.936279297,8,"1,2,4,18,53,58,107,54",0.9375,"8,8,8,8,8,8,7,5,4"
0,46,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"4,15,64,70,76,102,107,112",1.0,"8,8,8,8,8,8,8,8"
0,47,8,8192,8192,64,8,120,8,8,3.872983346,0.0,0.9375,8,"7,22,36,46,48,58,110,112",1.0,"8,8,8,8,8,8,8,8"
1,0,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"23,30,41,79,86,105,112,125",1.0,"8,8,8,8,8,8,8,8"
1,1,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"9,16,28,29,48,68,88,101",1.0,"8,8,8,8,8,8,8,8"
1,2,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"23,25,44,56,71,72,74,126",1.0,"8,8,8,8,8,8,8,8"
1,3,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"3,30,32,53,56,99,101,114",1.0,"8,8,8,8,8,8,8,8"
1,4,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"12,19,26,60,64,65,100,108",1.0,"8,8,8,8,8,8,8,8"
1,5,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"4,17,20,46,63,65,73,104",1.0,"8,8,8,8,8,8,8,8"
1,6,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"22,33,39,49,58,74,82,112",1.0,"8,8,8,8,8,8,8,8"
1,7,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"15,19,29,44,56,63,114,115",1.0,"8,8,8,8,8,8,8,8"
1,8,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,17,22,45,50,85,100,124",1.0,"8,8,8,8,8,8,8,8"
1,9,8,8193,8193,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"6,13,23,38,63,67,92,66",0.96875,"8,8,8,8,8,8,8,6,2"
1,10,8,8193,8193,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"1,5,6,19,36,42,48,92",0.96875,"8,8,8,8,8,8,8,6,2"
1,11,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"14,17,22,36,52,62,117,121",1.0,"8,8,8,8,8,8,8,8"
1,12,8,8193,8193,64,8,120,8,8,3.872983346,0.0,0.9375,8,"11,19,20,28,41,57,59,111",1.0,"8,8,8,8,8,8,8,8"
1,13,8,8193,8193,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"13,34,52,84,93,104,110,117",0.96875,"8,8,8,8,8,8,8,6,2"
1,14,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"2,5,24,61,97,102,109,14",0.984375,"8,8,8,8,8,8,8,7,1"
1,15,8,8193,8193,64,9,119,8,7.111111111,3.774917218,0.268822665,0.937011719,8,"58,63,64,79,84,111,127,122",0.96875,"8,8,8,8,8,8,8,6,2"
1,16,8,8193,8193,64,9,119,8,7.111111111,3.816084381,0.306982542,0.937255859,8,"42,48,70,93,97,107,122,116",0.984375,"8,8,8,8,8,8,8,7,1"
1,17,8,8193,8193,64,9,119,8,7.111111111,3.766629793,0.260520813,0.936767578,8,"73,75,80,94,122,124,105,123",0.96875,"8,8,8,8,8,8,7,7,2"
