step,layer,expert,assignment_count,normalized_assignment_share,routing_weight_sum,hot_rank
0,0,14,8,0.125,0.704319,1
0,0,21,8,0.125,0.726676509,2
0,0,50,8,0.125,2.070108593,3
0,0,51,8,0.125,0.574848093,4
0,0,57,8,0.125,0.89034263,5
0,0,103,8,0.125,0.672065847,6
0,0,106,8,0.125,1.689573482,7
0,0,110,8,0.125,0.672065847,8
0,1,3,8,0.125,1.099676281,1
0,1,6,8,0.125,1.600019515,2
0,1,9,8,0.125,0.83007919,3
0,1,33,8,0.125,0.804540351,4
0,1,42,8,0.125,0.985743441,5
0,1,49,8,0.125,0.792067245,6
0,1,51,8,0.125,0.82203114,7
0,1,95,8,0.125,1.065842837,8
0,2,56,8,0.125,0.849587046,1
0,2,72,8,0.125,2.492182046,2
0,2,82,8,0.125,0.725266285,3
0,2,90,8,0.125,0.874838255,4
0,2,92,8,0.125,0.715426497,5
0,2,95,8,0.125,0.772041984,6
0,2,122,8,0.125,0.761564851,7
0,2,123,8,0.125,0.809093036,8
0,3,30,8,0.125,0.931077138,1
0,3,39,8,0.125,0.914858542,2
0,3,56,8,0.125,0.884982176,3
0,3,71,8,0.125,1.20490478,4
0,3,87,8,0.125,1.040716752,5
0,3,108,8,0.125,1.088534966,6
0,3,114,8,0.125,0.945735626,7
0,3,117,8,0.125,0.98919002,8
0,4,12,8,0.125,1.283500478,1
0,4,19,8,0.125,0.828699522,2
0,4,64,8,0.125,1.775022373,3
0,4,65,8,0.125,0.722803868,4
0,4,100,8,0.125,0.928089157,5
0,4,108,8,0.125,0.846688844,6
0,4,110,8,0.125,0.780002438,7
0,4,114,8,0.125,0.835193321,8
0,5,4,8,0.125,1.020669937,1
0,5,38,8,0.125,0.841211289,2
0,5,46,8,0.125,1.016683146,3
0,5,53,8,0.125,0.879866458,4
0,5,65,8,0.125,0.925697252,5
0,5,73,8,0.125,1.010745406,6
0,5,84,8,0.125,0.973933645,7
0,5,104,8,0.125,1.331192866,8
0,6,33,8,0.125,0.883522481,1
0,6,43,8,0.125,0.904482543,2
0,6,49,8,0.125,0.863063417,3
0,6,58,8,0.125,1.170477137,4
0,6,82,8,0.125,1.034964457,5
0,6,112,8,0.125,1.01296775,6
0,6,116,8,0.125,0.886984937,7
0,6,126,8,0.125,1.243537277,8
0,7,15,8,0.125,0.959417626,1
0,7,19,8,0.125,0.950100273,2
0,7,29,8,0.125,1.03737776,3
0,7,44,8,0.125,1.047567785,4
0,7,52,8,0.125,1.057845339,5
0,7,56,8,0.125,0.885589086,6
0,7,75,8,0.125,0.904823609,7
0,7,114,8,0.125,1.157278523,8
0,8,11,8,0.125,0.972142048,1
0,8,50,8,0.125,0.958944798,2
0,8,53,8,0.125,0.955199629,3
0,8,83,8,0.125,0.940390602,4
0,8,85,8,0.125,1.245815143,5
0,8,92,8,0.125,1.020791411,6
0,8,102,8,0.125,0.949645966,7
0,8,123,8,0.125,0.957070403,8
0,9,2,8,0.125,0.935758457,1
0,9,11,8,0.125,1.013762936,2
0,9,13,8,0.125,1.050026044,3
0,9,16,8,0.125,1.220447332,4
0,9,38,8,0.125,0.954221517,5
0,9,92,8,0.125,0.926644772,6
0,9,124,8,0.125,0.943079345,7
0,9,125,8,0.125,0.956059597,8
0,10,1,8,0.125,1.359900862,1
0,10,6,8,0.125,0.878018007,2
0,10,9,8,0.125,0.837810665,3
0,10,29,8,0.125,1.163184911,4
0,10,42,8,0.125,0.964314044,5
0,10,48,8,0.125,0.925579458,6
0,10,84,8,0.125,0.977596804,7
0,10,98,8,0.125,0.893595248,8
0,11,3,8,0.125,0.71504382,1
0,11,17,8,0.125,0.750835761,2
0,11,62,8,0.125,1.158361733,3
0,11,76,8,0.125,1.346346125,4
0,11,81,8,0.125,0.803939961,5
0,11,108,8,0.125,1.026255473,6
0,11,109,8,0.125,1.470057145,7
0,11,121,7,0.109375,0.639387555,8
0,11,52,1,0.015625,0.089772426,0
0,12,11,8,0.125,1.02407138,1
0,12,24,8,0.125,0.874226712,2
0,12,41,8,0.125,0.952671856,3
0,12,57,8,0.125,1.126915753,4
0,12,78,8,0.125,0.988709286,5
0,12,106,8,0.125,0.764013298,6
0,12,111,8,0.125,1.083773538,7
0,12,125,8,0.125,1.185618177,8
0,13,11,8,0.125,0.865673766,1
0,13,34,8,0.125,0.990552783,2
0,13,93,8,0.125,0.967631556,3
0,13,104,8,0.125,0.947050169,4
0,13,110,8,0.125,1.164903626,5
0,13,117,8,0.125,0.973297268,6
0,13,119,8,0.125,1.218418106,7
0,13,31,4,0.0625,0.433929227,8
0,13,33,4,0.0625,0.438543499,0
0,14,2,8,0.125,0.985867299,1
