policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,30107.362351105,3763.420293888,3796.909682688,2125.725902311,8.791666667,0.0,24576,0,True
noexp,108250.772143101,13531.346517888,13564.152761088,591.219801328,8.791666667,0.0,24576,0,True
allexp,134978.358911997,16872.294864,16874.66928,474.150082397,0.0,8.791666667,0,24576,True
pimoe,107405.569562365,13425.696195296,13443.208418853,595.872264919,8.065104167,0.7265625,24067,509,True
sieve,115930.772143101,14491.346517888,14524.152761088,552.053599031,8.791666667,0.0,24576,0,True
sieve-cycle-v1,113856.845505723,14232.105688215,14234.418091899,562.109372658,7.0,1.791666667,21407,3169,True
sieve-fixed-16-cycle-v1,115930.772143101,14491.346517888,14524.152761088,552.053599031,8.791666667,0.0,24576,0,True
