gpu_prefix_length,gpu_experts,gpu_tokens,pim_tokens,gpu_memory_us,gpu_compute_us,gpu_path_us,pim_path_us,scheduler_us,objective_us,step,layer,selected
8,43;45;65;73;85;98;100;114,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,0,True
8,18;26;38;42;43;49;51;94,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,1,True
8,38;40;57;82;88;95;113;123,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,2,True
8,51;56;67;71;80;87;101;117,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,3,True
9,12;53;61;64;65;95;108;110;121,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,4,True
9,9;38;45;46;64;73;84;94;104,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,5,True
8,12;41;58;62;107;112;116;126,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,6,True
10,10;15;19;24;29;52;75;82;114;125,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,7,True
10,9;17;23;45;50;58;77;85;92;102,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,8,True
8,2;11;13;16;23;58;69;125,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,9,True
8,1;5;12;36;68;78;92;98,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,10,True
9,3;15;32;54;62;76;81;121;125,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,11,True
8,11;18;23;39;49;57;65;78,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,12,True
9,33;34;58;63;91;103;104;110;122,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,13,True
8,2;5;61;63;67;81;104;109,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,14,True
8,2;33;49;58;84;106;122;127,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,15,True
8,42;46;48;54;97;98;107;122,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,16,True
8,21;59;80;88;105;122;123;124,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,17,True
8,12;24;58;82;104;112;122;126,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,18,True
9,24;29;52;56;59;75;79;112;119,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,19,True
10,9;16;45;48;53;65;72;85;92;114,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,20,True
10,0;2;11;13;16;50;56;58;63;124,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,21,True
8,6;12;31;36;68;75;78;90,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,22,True
8,3;4;14;32;48;54;56;121,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,23,True
10,8;11;21;23;28;57;62;89;108;111,128,0,29.249064,3.536870912,32.785934912,0.0,20.0,52.785934912,0,24,True
9,1;33;34;52;53;87;91;110;122,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,25,True
9,4;59;61;67;81;94;104;109;121,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,26,True
9,2;15;33;49;51;106;118;122;127,128,0,26.303784,3.536870912,29.840654912,0.0,20.0,49.840654912,0,27,True
8,42;48;58;91;97;98;109;122,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,28,True
8,33;34;50;59;75;80;105;120,128,0,23.288616,3.536870912,26.825486912,0.0,20.0,46.825486912,0,29,True
