step,start_us,end_us,latency_us
0,0.0,8768.225036672,8768.225036672
1,8768.225036672,17532.0066336,8763.781596928
2,17532.0066336,26297.344544256,8765.337910656
3,26297.344544256,35079.636924224,8782.292379968
4,35079.636924224,43866.186164673,8786.549240449
5,43866.186164673,52672.048443074,8805.862278401
6,52672.048443074,61465.043568131,8792.995125057
7,61465.043568131,70223.826979523,8758.783411392
